player_tag,player_name,brawler_name,rank,highest_trophies,3vs3_victories,exp_level
9LPVCJCQQ,King,PIPER,28,911,26328,315
8RVCYG82J,I❤️PeakYou,PIPER,30,1009,18888,267
8JJ89809C,Pila 💙,PIPER,30,1033,28032,292
P20RUGRY,Cuy-r,PIPER,31,1053,26381,334
22VVQLGQ,BeanLuvAsians,PIPER,30,1011,33684,325
YYJCQJ8Q,Ramen 🍜,PIPER,30,1010,28052,294
GPG80JPY,TatorTot,PIPER,31,1056,22404,291
2GQU8GQRQ,I CAME,PIPER,28,900,16230,305
299UGPLYU,Tribe | wBob,PIPER,30,1002,35612,326
9LY0RQU2Y,Q҉W҉E҈R҉T҉Y҉,PIPER,30,1035,12185,265
29JJCYY8R,miZz,PIPER,30,1010,35782,357
2Y2YQR000,Paris,PIPER,28,932,20844,319
9PCUGPYJQ,Icy❄,PIPER,30,1019,24536,284
GCPYLLJ9,Neivax,PIPER,29,984,17909,265
Y2GCJUUG2,Amiweird?,PIPER,28,923,26506,308
28R0PVG0C,NinjaBrawlerXD,PIPER,30,1025,25405,341
Y88CQJ90P,SamLuvAsians,PIPER,30,1029,14900,238
VLP2VJG2,KABOOM,PIPER,30,1005,20047,277
PJ88VYVQQ,Feral,PIPER,24,736,21751,266
88822LQU,NIAN,PIPER,27,871,14844,260
2YCQYJV99,bloodambusher,PIPER,28,908,17970,266
V0J9GCQL,UC | skittle🤍,PIPER,25,755,18295,265
8C9VVRLRP,NotAlan,PIPER,30,1000,14233,255
2PGVLU9L0,L1S|Odin❦,PIPER,30,1004,18071,390
UUPRL9V,PapaBoomkids,PIPER,26,841,11759,305
PLUGQ2VL,WaliEast | ➡️,PIPER,30,1001,17040,252
PUUGCRPY,Joe The Doe,PIPER,26,819,30729,309
