player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#82PQUPGU0,Ryohei🐬,308,110806,36285,PIPER,35
#8Y98Q8U,CR|Sitetampo,390,110329,67529,PIPER,35
#8V92UYCJ,HMB|Lukii,412,108682,56141,PIPER,35
#P90RJQ8C,NAVI|Sizuku,390,109443,61512,PIPER,35
#29UGLJV2G,NAVI|Levi,293,105128,38165,PIPER,35
#J99YU9QY,CB|KuruNero👻,416,101568,64914,PIPER,35
#VGQ0P2VU,Georg=King 👑,434,97197,80750,PIPER,35
#8LQ9JR82,Eqwaak🦆,457,97029,111954,PIPER,35
#QLVP829R,J4S|Gas,433,90148,76830,PIPER,35
#20L88L2J,SK|LeNain,421,90605,77985,PIPER,35
#GRC9RRJR,Skibidi Javi,446,90044,83343,PIPER,35
#28PU0P9L0,NAVI|Achapi,383,88275,59952,PIPER,35
#2QC8VJ2,༄Rzm64⛩,422,84994,69072,PIPER,35
#J089RQ,FUT|Drage,422,83017,72987,PIPER,35
#V89Y2GP0,HMB|BosS,373,80604,55477,PIPER,35
#J2L2C0RJ,FUT | RamaZR,326,80548,40183,PIPER,35
#200VQUPRP,J4S|Blaksxy,437,80194,81647,PIPER,35
#82RGU8PR,TTM|Maury,499,79434,100231,PIPER,35
#2Q892QVU,TTM|Maru,378,78856,55008,PIPER,35
#LJCL8P0,SK|Joker🩵,400,78240,55321,PIPER,35
#RLLRJ2,LG | Patchy,468,78418,85365,PIPER,35
#P0PULRC,Trebor🐣💛,483,78000,106994,PIPER,35
#PCPRPJV,TTM|iKaoss,458,77215,79905,PIPER,35
#UR2UL8YR,CR|Moya,417,77189,70608,PIPER,35
#9LVUC2PY,ECP|OPE,406,77002,63012,PIPER,35
#P2808PRC,OCG|Nob,400,76306,53766,PIPER,35
#22CL00PG0,ZETA|Nowy297,386,73143,56245,PIPER,32
#9ULYPV8,CR|Tensai,374,64850,50280,PIPER,35
#2VJCCCQGP,ZETA|GeRo,387,62617,53843,PIPER,32
