player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#Y2R98QRC8,Be.ready,368,69834,27694,PIPER,32
#29UJQPJP,Kevin,352,66466,16536,PIPER,28
#PQ8LJVCLC,Bloomie,312,66871,20776,PIPER,35
#PQV09U990,ѕя. ρнσσ🐣💛,315,64290,10781,PIPER,29
#YLVU028P,Joker,315,62548,14484,PIPER,26
#GU2GPJ8Y,Tom,369,60228,32002,PIPER,26
#20YPGCUV,我很強,279,59498,19055,PIPER,25
#PJ02YUUG,WreckingChicken,281,56692,13185,PIPER,27
#2U0GUG9Y0,$eandre,276,55782,18463,PIPER,26
#8CUJVGU2,❄️FaZe_God❄️,317,55856,33028,PIPER,27
#280RLJR9,ckim,309,55059,16150,PIPER,27
#QCCJC0C0,⚡️chadskie⚡️,385,54343,45244,PIPER,29
#8VVYR9JJJ,tribe|spenLC YT,291,54285,20707,PIPER,26
#2PGP0YY80,Carton,288,53081,19937,PIPER,30
#8R2VLCQ,NitroPingu,231,50905,15622,PIPER,25
#GUPVVLVU,JJChamp29,283,50764,20189,PIPER,23
#VPURGL2J,VIIWhite,242,50738,15811,PIPER,26
#9RRPJV9J2,TryDontDie,240,50289,11275,PIPER,30
#9LYU9URC,stealYoKill,258,50089,18679,PIPER,26
#89R0QLGG8,Caramel,229,49321,7112,PIPER,22
#QLPCVC8Q,•Dev•,225,47629,8542,PIPER,23
#PCGGJQPY,DP Pope,162,44620,7472,PIPER,23
#VLCYPYLR,Gameknight999,212,44666,11786,PIPER,23
#80PPJJG2,VG | ☁️,211,44542,5671,PIPER,23
#YGG2PC9Y,JDDD,290,44208,21031,PIPER,23
#8U2LJ22QL,BUTT CHEEK,219,43904,11570,PIPER,23
#2P89LJ90P,A0S,281,41764,21106,PIPER,23
#829QRVY8,Regul8r,308,39192,21394,PIPER,20
#89V9UV89,Dycizionz,189,35668,6405,PIPER,24
#2G0LRU9YJ,azn,263,32656,15756,PIPER,21
