player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2PRCVJJGJ,Juan Cena,334,62297,17983,PIPER,28
#VV9Y92QC,Maverick,240,61059,14573,PIPER,26
#2P9C2UYY,``—-00—‘’’’,239,61123,15128,PIPER,25
#2UJY9Q28R,GD| SHOOTER,251,59281,15255,PIPER,29
#89Q9QJPG9,KOLA 2115,268,55721,16468,PIPER,25
#8Q88C2VJ,Боец,261,54916,11438,PIPER,25
#PVCQUJQR,DirtyDan,338,54553,24471,PIPER,27
#RLRGLQ20,evensteven,259,53847,18169,PIPER,25
#9G9VR9JR9,TQ l Muiinz,311,53458,27167,PIPER,25
#99ULRUR,Mio,288,53312,16549,PIPER,23
#89PCPPGCV,Gor🇦🇲,244,53148,7167,PIPER,26
#VL2VP28,Spencer,298,51714,25527,PIPER,27
#2CG2UQV2,Ninja,243,51653,6398,PIPER,25
#82PQ8CVQP,ユスラとネイサン,315,51100,23471,PIPER,28
#2VUQC9ULU,BR VOLTAR,400,51085,53914,PIPER,25
#9QLR00VP8,Elber galar@,282,50838,23199,PIPER,23
#UY8VYLQ,Vƴʟʟᴀɴ ⚜️,278,50615,20798,PIPER,25
#PR0PQPJ2V,⛩️Blackninja🎋,256,50692,11738,PIPER,25
#2YPJCRPJ9,Xavii,263,50668,18042,PIPER,30
#9VJQJ92LL,IX|Revølution,210,50540,6029,PIPER,26
#22P9LG8PL,QQ,226,50118,5241,PIPER,21
#2QRU9Q0JP,007,237,48929,7623,PIPER,22
#GCRJ9C99,Lord Kazan,344,48835,48710,PIPER,25
#8VRJVG2P2,IWillWin777👑,280,48366,10544,PIPER,24
#80L8CL8U,SWlGGER,239,47336,11882,PIPER,23
#8C9PVYP0,lol,229,46765,7232,PIPER,24
#PQYY22V98,Richard son,247,46013,11014,PIPER,22
#P90QP9LQJ,Shadow,231,45742,11662,PIPER,22
#VQCGU00P,LeBrawl'n James,249,44695,16618,PIPER,25
#2CU0V9VC0,japanda,173,35901,7106,PIPER,20
