player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#J2R90L2U,కκاρργت,291,75730,20407,PIPER,30
#PLL29V2LL,✞𝐨𝐱𝐢𝐜,304,74506,18172,PIPER,31
#CP9CUGG9,체|Trek 👾,282,73607,27010,PIPER,30
#2JQQR8G2,Daniel Lin,296,71180,22461,PIPER,29
#29VY0LUQQ,haydn,317,70260,30606,PIPER,31
#2CPVR88JU,꧁TO᙭Iᑕ| ᑭᖇO꧂❦シ,367,68884,19742,PIPER,28
#PCLCR9UR0,DL8,257,68318,8936,PIPER,29
#YR8JVPR0,Malcom el pro,340,68346,30991,PIPER,29
#8V28GVPCY,SpaceTaco,298,67736,14550,PIPER,32
#8GJQPCRJ,BS|Cosmos💫,238,67498,8939,PIPER,30
#20UU9R9U,LowKey>.<,255,67318,19684,PIPER,26
#222JP08V9,<c8>Fallen7</c>,280,67101,17508,PIPER,27
#Y9U29CCG,SebasKo,330,66991,31555,PIPER,30
#2L98CYVYY,♐☆TNEG UKRAM☆♐,310,66635,23690,PIPER,29
#2CL22QJLU,GH|Probe,302,66476,28845,PIPER,28
#8GVCLL0U,Doge,305,66435,23275,PIPER,28
#YVP0QP8VP,تཇㅜلً,251,66005,20927,PIPER,28
#Y9QU9VY02,Obber🖤Edgar,238,65605,11359,PIPER,28
#9YL98VGP,chad,276,65197,19907,PIPER,27
#LYR0CQCG,EBK | Mark,284,65211,11641,PIPER,28
#LRPQPYR,LMNTrixx,264,64663,6833,PIPER,28
#GUV9RJYU,LilMilutin,280,64466,23493,PIPER,30
#PUPRYC9CV,GH|RickAndMorty,220,63465,6879,PIPER,26
#2VC0PV08U,>>Dont Even<<,262,63065,19451,PIPER,26
#8QQCC800P,Tu Waifu UwU🌸♥,284,62523,19995,PIPER,30
#8Q8YCU88,Tribe|Odysseus,336,61050,28215,PIPER,30
#2UV208UYL,ツdjslimツ,310,60968,24577,PIPER,29
#P8JVGYLV,세닝,249,56386,13890,PIPER,30
#PLJCP8P8Y,🐔ᴛᴏᴏ|ᴇɴʀᴀɢᴇᴅ🥶,432,52186,63755,PIPER,27
