player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9UU8GLJY,吹雪前の夕暮れ,361,81049,35192,PIPER,31.0
#8PJ8RUGR,Brix,315,80345,23676,PIPER,31.0
#80UP02L9G,wiz,334,76640,39473,PIPER,35.0
#2J2U9RUQG,Izuku🖤Midoriya,381,76850,22270,PIPER,35.0
#2LJUGPGRV,Kim Minji,266,75298,20974,PIPER,30.0
#89UCRQRGG,不是卑鄙😫,312,74461,19567,PIPER,35.0
#8P9RCCQGY,YunQing🦄,321,73144,24565,PIPER,31.0
#29RUJG0QQ,OG|Gaming|brand,309,72799,22668,PIPER,31.0
#929YQ9UUL,Bad Internet,340,66462,31056,PIPER,30.0
#9GCL8LGGR,☻➹♡𝔻𝕂❀𝕲𝕾♧♤,251,63756,17573,PIPER,28.0
#C8UYYC99,Jian七星龍淵,284,63200,23267,PIPER,30.0
#LCLPRVC,Destroy Lonely,356,62582,33045,PIPER,35.0
#GPVGYC8L,ItsCreeperGamin,261,60047,15737,PIPER,25.0
#88G2GYYYR,Retired | YM,253,59295,19637,PIPER,27.0
#PLRR0GG0R,Squeby :D,336,58153,19185,PIPER,27.0
#2LCGQUV,Renzai🍀,317,57902,27996,PIPER,26.0
#8Q9GGVJL9,ℜ𝔢𝔞𝔩粒子の神,279,55574,20380,PIPER,28.0
#29J2C00V,PAIN,296,55003,11440,PIPER,26.0
#8CP2YG09,Flyboy354,294,53860,24327,PIPER,25.0
#2G0LUGRQU,香港PP第一迪蛇,217,52398,14146,PIPER,28.0
#J2QLQ8VL,Marbless-,257,52032,15135,PIPER,30.0
#80R0LUGCJ,Phoenix Boy,201,51474,9227,PIPER,28.0
#9L9R2YPU,lame,235,51191,16467,PIPER,27.0
#20QQP898U,𝕿𝖚𝖗𝖇𝖔🔥,291,49905,22400,PIPER,27.0
#2PUR9VL,Aegis,260,46617,16729,PIPER,25.0
#8PLUJUCQ,☤Yijie☤,271,45632,21051,PIPER,30.0
#YYLRQ0URC,燒賣,194,41679,12910,PIPER,30.0
#9QR89JP8P,벌주는사람,265,40202,15644,PIPER,25.0
#2JGLQLYPJ,我儿Brix有大帝之资,135,31187,5725,PIPER,26.0
#G0VR9GLQJ,What’s your ETA,54,4500,1324,,
