player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9VJRYQ0L,|ᴮᴬᴰ|태언♰,267,68194,22053,PIPER,30
#Y9CQYV8U,G.Y.R|⚗️,295,67170,14988,PIPER,30
#82PR0L2U,Frost™,338,63616,22626,PIPER,30
#Y0CR0YRY,[DuW]LK👾,323,62698,24756,PIPER,25
#VCVPRGRJ,Wimmpy EDGAR,278,62160,20957,PIPER,28
#8CLCQVLY,🌊|Ayo Juan🌚,281,61168,21265,PIPER,25
#8QVYJJP0C,DIE DIE DIE,268,59040,11021,PIPER,29
#PYRCVV999,Kirbo,286,59098,22196,PIPER,23
#RJC98PUV,🌊|Ayo Sam!,236,58721,15863,PIPER,26
#2VG2R9GQ,Oatmeal,310,58478,22754,PIPER,26
#9J2VGC8V,menace,265,58200,20567,PIPER,29
#2JQRL2PC,mars13,329,57500,31543,PIPER,28
#9Q0LJYLGR,Guojin,211,57012,10982,PIPER,27
#2P8CJQ0PL,Tfidd,251,56264,14812,PIPER,20
#Y8LRPQUPG,Jp|Zain,195,55815,8400,PIPER,31
#UQUC0PG,Sharjin,259,55121,13563,PIPER,25
#RQPL02C,Mnagol,240,54706,11803,PIPER,24
#20YP9GLVL,쏘쏘 so-so,267,54170,12318,PIPER,26
#LL8GQ8V2,DTRIX,277,54019,20135,PIPER,24
#98V2VL8P0,Raglem,319,53764,32744,PIPER,30
#UV0VRC29,KitKat,273,53074,20178,PIPER,24
#QQUJRJRR,jake,265,52791,8936,PIPER,26
#8QVVUVR0,King Kohl,289,51293,15621,PIPER,25
#28Y8GRCC8,xVictor15,250,50356,18342,PIPER,26
#2YCVPPRQL,Legendary 🐈,235,48661,9644,PIPER,26
#2Y9UJY089,ຮhͥαdͣoͫω ツ,274,49000,11600,PIPER,25
#99PLYVCPP,SpikyDeath,220,47281,9540,PIPER,21
#9PGJ9GPYQ,tesh✤,226,45358,13868,PIPER,29
#9PC0C2Y0V,Nick,151,42390,5797,PIPER,28
