player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#808U0L89L,Water💙Rico,225,69554,12615,PIPER,30
#8QGV0J2,❤️RoseX,257,66924,10591,PIPER,29
#2G0LCG0YU,Nicolas,280,65620,11731,PIPER,30
#22JYYLQCJ,@danniieelll,399,64468,46057,PIPER,25
#2CJPVPLL,FF|Village,382,62594,43948,PIPER,26
#PYLR99GU9,alejandrot368,301,62443,24434,PIPER,30
#2CQ0R8CV,Jay爱☯︎,329,61536,23820,PIPER,30
#8CPPVLJJ,DayDream,324,61695,27464,PIPER,29
#2YQUU220Y,Horse,262,61237,17699,PIPER,26
#2QL922PJY,jr,275,61089,13631,PIPER,27
#8PPV00CPP,❄️Icy_Sloppy❄️,284,60835,19874,PIPER,30
#2V0LP8VCR,SSS|𓆩ImScyk𓆪,236,60665,11074,PIPER,30
#2QRCG8CY8,EW|FALCON♡︎💚,308,60621,24848,PIPER,27
#LVYC0899,Yannick,219,60623,8766,PIPER,30
#PP2VV8G,Mo,266,60577,16852,PIPER,25
#89RUPJ2J2,ru55el,346,60222,25353,PIPER,26
#8VG8CQY9C,YaBoiJeff,262,58754,11433,PIPER,28
#29QVUYLR,PS|Trevor,266,58572,20078,PIPER,28
#982R809J,FF|サオ,314,58348,21359,PIPER,28
#88YCV8JC,FF|D’smalls,280,58101,21355,PIPER,26
#LQYRJP92,MiLaNaa💘,262,57166,10748,PIPER,28
#2JVVJ8RG9,NOVA_KNIGHT,227,57136,10716,PIPER,28
#LU2VY9GP,☔️DRIP☔️,397,57042,46097,PIPER,25
#8PJCP228C,OATMILKERS,307,56706,24444,PIPER,29
#2PPV088UG,𐌱ounty Hunter,249,56355,14391,PIPER,30
#2VLLV909,JMar44,276,56056,15689,PIPER,25
#LLRV0LPY,Glee,242,55638,16183,PIPER,25
#20V922Q08,FF|El Sicario💸,274,55613,19622,PIPER,29
#2C8CP98U,Kainstar,324,55188,22120,PIPER,25
#2LLQVV0C,Matt,281,54795,8549,PIPER,24
