player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9J8GJGGQ,Yufc💚Supernova,291,72285,19169,PIPER,30
#20YGJ2UY,Doogie,268,70910,17840,PIPER,30
#9YPGYVVL,Dynasty,290,70785,18052,PIPER,29
#8YQLPY0U2,KitKats,297,70582,17710,PIPER,30
#ULYLG0R,Julius,271,70626,7824,PIPER,30
#8L0G2CCCQ,Nathan supp1 yt,288,69611,22010,PIPER,30
#9CG0L2980,B2B|bot 5🔰|重難,326,69395,27532,PIPER,30
#2QG9PLRQV,Dalion❤️Ferno,316,67963,17094,PIPER,30
#20C8JLUQ8,diana ♡,327,60337,26239,PIPER,25
#2CVYUUVJ2,AI,240,59128,9466,PIPER,26
#P0PCYG80,BloodyXavi,228,58967,11447,PIPER,29
#CJY9JP9V,B2B | HoopaGX,268,58600,8320,PIPER,26
#PURR2R2C2,~𝕮𝖆𝕸𝖕𝖊𝕽~,267,58278,19090,PIPER,25
#PJG0JGGRG,BBC | Cheyo 💜,235,57426,17299,PIPER,27
#8GRP8GVQV,ツ GLD|KN1T ♆,282,56187,12320,PIPER,25
#8QVUPUQRU,mohavet,228,55923,11002,PIPER,28
#PQR9LC2U0,can you imagine,275,55736,13081,PIPER,27
#8RGLGPJG,justVAL,253,54920,16821,PIPER,25
#UYJ20Y9,FireBS_YT,273,53402,21385,PIPER,26
#9L88V8VJ9,B2B|BIG O,248,52644,12459,PIPER,24
#908C0JPUJ,Spaghetti’Os,252,51880,11620,PIPER,31
#P8VRP89L,haso vaso,221,51289,12426,PIPER,23
#20Y9V2VCV,NoChillWill,277,51130,16373,PIPER,24
#2J208QL,Lord Magma,278,50756,18792,PIPER,25
#G8PVUR8,⚜️MARXER⚜️,299,50586,21467,PIPER,25
#CUGULGL0,B2B | sacha,225,50144,5524,PIPER,23
#28YCL889,XfinityHome,235,50770,3860,PIPER,30
#8GCLGYQC,AVG BMW OWNER,265,46570,17527,PIPER,23
#RPGUPJPG,ggfortnite1212,168,44150,6865,PIPER,24
#9L09YYQL,jessica ✨,223,38895,12609,PIPER,22
