player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#LY9YGYP,Trix🤍,312,86008,28114,PIPER,35
#2P2L0CRV8,꧁Tobiツᶜᵃʳʳʸᵧₒᵤ꧂,319,72621,18226,PIPER,29
#990VQVPLY,Sunnyy ϟ,274,71878,17501,PIPER,30
#GU9UCUJ8,KingAlo,327,71874,31885,PIPER,30
#29R2UL90V,Horizon 🌅,366,70522,21938,PIPER,30
#UJVCUQGP,Leon Is 🗑,423,70506,41136,PIPER,31
#2YGLRUC,Nexus拥,315,68530,26880,PIPER,28
#RL8QP8R2,eugenel,373,68242,44224,PIPER,28
#2Q0GLVCQJ,Beast of fire,266,68053,12225,PIPER,28
#8QUP88RU,Golden Brown,329,67512,12985,PIPER,32
#22G9GRR0J,Enkianz,302,67406,19214,PIPER,30
#9LLJRPC2,RetroBot,296,67057,23491,PIPER,28
#8PR8GYGR,◾◼KING REIS◼◾,346,66946,14350,PIPER,30
#VP0LCU20,Iron Heart,329,66445,29990,PIPER,27
#2U9Y222V,achilles,379,66073,43765,PIPER,27
#YQLGU982,Onur,326,65417,23030,PIPER,27
#JGU2LU0J,Vort3x,232,64804,16982,PIPER,28
#8CV99C9,꧁ 𒆜𝒁𝔞𝖕 𒆜 ꧂,344,64849,23600,PIPER,29
#Q8RJGQ0R0,Arlo,248,64123,15165,PIPER,28
#PYVJCVRJV,Frank🤍,328,63934,17788,PIPER,27
#2Q2Q8YVR0,🎋thr ᵍᵒᵒᵈ🎈,232,63879,6708,PIPER,29
#980UUGRY,𝚍𝙚г𝐤ᤂₙչ𝕝𝔢г,268,63713,21192,PIPER,30
#QR2G989U,Brawler,336,63624,17412,PIPER,28
#80PV89VQY,LΘκΙ,270,63362,13146,PIPER,28
#YV2929VRC,DR.Breaker,253,62967,19880,PIPER,29
#GRUC80L,CR|Toxic,275,62397,14358,PIPER,30
#88R8V8CLQ,No Me Matas🐨,363,62244,26169,PIPER,25
#29C82PPY,Bot=You,315,62076,28843,PIPER,26
#2C8P2CC9,🐻MrBearCub🐻,314,61433,23588,PIPER,27
#2U9P9YCC,Nova|K£¡¡da™️,279,60848,15855,PIPER,30
