player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9JQGCVRU,trevor,333,77546,35935,PIPER,35
#288UP8PY0,OSL|sk!lled🎨,332,74488,33714,PIPER,29
#82Y2800L0,ᶻChuka🤍ᴿ ͛,298,72157,13830,PIPER,30
#9CRJCGC,⚡️Waffle⚡️,353,69827,28306,PIPER,30
#Y2VQY9J,Wakim,334,68802,23816,PIPER,27
#2P8V99R8,Sword Slash,314,67590,28838,PIPER,28
#22UU2YGPJ,UP28,322,66567,21047,PIPER,28
#8YLJGQURC,Tangy🦑,357,66163,42124,PIPER,27
#LJJYULY,⚡️Josh⚡️,346,64263,30240,PIPER,28
#VVL88GLP,Z1 (っ｀Д´)っ･:∴,314,62789,22346,PIPER,27
#URY0Y0Y,Ghosty,385,62741,26148,PIPER,26
#8R9U0Q0J,Neek,346,59228,34931,PIPER,25
#8C2GUYY2J,chubby,257,58866,12787,PIPER,27
#2UGQ9JY9,AR Nick,247,57737,13908,PIPER,27
#2RYRJQGJU,GhostPepper🀄️,262,56175,14395,PIPER,30
#VV9R89G,Oink,352,55955,36905,PIPER,30
#2LPYG0LRC,Phoenix,376,55941,41672,PIPER,27
#8YVGC9GLR,MD6,234,54306,5785,PIPER,24
#8J29VUURG,Tragedy×͜×,331,54471,34160,PIPER,30
#UGR9VQL8,vidhya 2,276,53784,12528,PIPER,26
#L2LYLJPR,Kit,210,51551,9664,PIPER,27
#2J8RUR99,chubby,317,51583,20479,PIPER,25
#8CPP2GUQ,plixxreeb,385,51317,45329,PIPER,26
#GPU22UJ2,Dark🐲,273,50827,12750,PIPER,24
#QRJP28,⚡️Fishy⚡️,285,49882,17374,PIPER,26
#8YRVL92C9,Romelo,262,49397,16132,PIPER,27
#2CLG9GLRV,hydra ninja,292,43311,20269,PIPER,26
#LU2RQ80,AR Nathan,210,39619,8855,PIPER,24
#PP8288V,Pixel,129,31506,4851,PIPER,20
#LV90P8CVY,grace🧡trevor,117,27725,4954,PIPER,22
