player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9CRRVV0J,DukeZanderflash,273,68551,20519,PIPER,30
#8Q802GV,DoomGodaツ,263,67717,12739,PIPER,29
#2820LCQC,kate 572,313,67147,29067,PIPER,28
#9RR28JJQJ,SF | Critical,326,66636,24496,PIPER,32
#GR8QUUVJ,HitThatWKey,339,66572,24718,PIPER,30
#22PJLYL9R,Derek,312,65210,25328,PIPER,26
#L8R29VGL,ArLobo,333,62206,7362,PIPER,26
#U98GPGG,KUSAMA,295,62184,22196,PIPER,28
#2G20J2C0Y,mommys date,278,60795,13528,PIPER,26
#QVPGYCPL,OJ,294,60231,8297,PIPER,26
#YLVRLCU,ProPlayerEd,334,58745,28044,PIPER,25
#PG0Y982,passtheweedle,254,58643,18919,PIPER,26
#9PVQJPYYJ,R3spxct,249,58508,9199,PIPER,26
#PP0P9Y89Q,WAR||Yotyeet,244,55527,5836,PIPER,23
#9Y0LRY8JC,Luis ᴷⁱˡˡᵧₒᵤツ,316,55091,19861,PIPER,26
#PV92PUG,avi,329,54757,21886,PIPER,25
#80QJPPVQJ,HavocTheory,326,53845,30897,PIPER,25
#2P98V0QJ,Fire is Bad,249,53661,11845,PIPER,25
#880YGV8Y9,Prince of Peace,265,53292,12842,PIPER,26
#9GU29C2YU,C of TACOs,367,53347,21100,PIPER,26
#29C8RPQ9J,keyshawn,387,52254,33789,PIPER,25
#ULCVJJPR,ethans pp is,330,51735,20116,PIPER,25
#PG8Q2C0QQ,kddoubleot,267,51445,20596,PIPER,25
#9992CVQRP,lol,268,50347,14537,PIPER,26
#28QCCRYUY,primadona,276,49150,12748,PIPER,24
#2CVY9LJVC,<<NUBARA>>,250,48324,15453,PIPER,25
#GRUCQGQL,ILWIN12,258,48226,9808,PIPER,23
#2QG9QV08J,Penguin,238,47461,14008,PIPER,25
#9QQ22VUY9,I AM BOSS,230,42213,7199,PIPER,25
#GJPJV02VR,BobGodaツ,103,20911,3602,PIPER,30
