player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2CRRRRYJR,моё,344,102202,49128,PIPER,35
#P88G9CGYV,KY,339,100313,33664,PIPER,35
#8UQ9GQJJ,↝𝑉𝑖𝑝𝑒𝑟⍨꙳,323,98273,33602,PIPER,35
#99PYJ29R2,1st.Team-지니⚽️,406,97829,34553,PIPER,35
#8CRC9QUY9,팀원 버스타는Daye🤱,295,92410,31459,PIPER,35
#YG8V8QCJ8,일상,296,90652,11745,PIPER,35
#29YQ0JR2Y,RW |Ponyo🪶,316,91185,38600,PIPER,35
#9LC9VP8QR,笑っちゃう男,283,90008,16674,PIPER,35
#GYR92R80,쯔위🫶🏻💗,372,95956,54419,PIPER,35
#2GRJ0Q9UC,DEW│Luismen🤍,293,89425,26581,PIPER,35
#8GCYC9029,ふりちゃん‼︎,387,88857,44134,PIPER,35
#PVJJLYPJ,dmstk,365,88708,48485,PIPER,35
#LLUY8U2J,タコ＆ブタ,396,88430,36670,PIPER,35
#2JU2QYG00,ぷっちんぜろぽん💫🩵,336,87055,41270,PIPER,35
#2VQ2V99CC,K!nch⚡︎,335,86646,14318,PIPER,35
#2PYQ0R099,@ICEX_X:lb🖤,330,86300,34897,PIPER,35
#2L9L9CCR8,samo tuki.(17),305,85972,26985,PIPER,35
#8VJYGP2R8,+＋爽凛❇︎SOURIN＋+,377,85661,47535,PIPER,35
#9RQ8QCGJC,❦𝐅𝐮𝐫𝐢𝐧𝐚⛆,322,85604,28984,PIPER,35
#9LYGRLUUR,とどー,350,85168,30628,PIPER,35
#2G9RC8U2R,西田まさなり,393,84000,34211,PIPER,35
#2VP8QPJP,KY,375,83556,50485,PIPER,35
#P9RLCJ8UC,ふぉるらん💫👑,282,82392,16381,PIPER,35
#298LPQGQR,ドラえもん,342,82146,37202,PIPER,34
#28Q0PR809,❤メイプル♥シロップ☃☁,394,82008,46910,PIPER,35
#8R8V9V8JG,暇人『怠惰は狂気と共にある。』,291,81384,15959,PIPER,35
#80U929LJV,행성｜Neptune💫,375,81087,45445,PIPER,35
#UGQJURVJ,Jax|Russia🇷🇺,274,80433,20196,PIPER,35
#QL9G8JR8C,KY,210,79858,20365,PIPER,35
#82YYUYVC0,KY,276,78354,24342,PIPER,35
