player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#22P28G9GP,Trust My Ink🖊️,339,77363,40774,PIPER,35
#8GRULYPG,Tseng22,365,74030,37922,PIPER,30
#RJVPU8P,The Informant,350,72927,41803,PIPER,35
#UU0UQ2J2,Silys😌,287,69366,14808,PIPER,30
#2R9VGJVVV,ㅤㅤ,319,68818,31653,PIPER,35
#288PYUPG,Twittoe,346,64961,35889,PIPER,26
#L0CYU0V,Alex,343,62350,25546,PIPER,28
#90R8GQRC0,Medium_N,251,60940,11451,PIPER,25
#28PL2LPL9,Ray,291,60246,23893,PIPER,29
#GR982VR,Iolex128,355,60022,28635,PIPER,26
#8Q0G9PYCU,Caliber,255,60065,19329,PIPER,28
#RY0YP8RU,gak,330,59055,30897,PIPER,27
#GYYYVUJP,Want2WasteTime,235,58699,13276,PIPER,30
#UJGVRRJ,GetSentツ,208,59043,11150,PIPER,27
#8CU88RCVQ,Avi,295,58374,22307,PIPER,28
#PJ8L0UQLP,Drex,258,58248,14861,PIPER,25
#2YQCCJ0Y2,ₘₐₓₓₓ,227,56856,8672,PIPER,23
#LP0Q8LGL2,the16,256,56855,5802,PIPER,25
#28G89J9CR,[:LeveLs:],340,56988,28327,PIPER,26
#YVGPPG0R,NZaeX,251,56185,11693,PIPER,29
#2V8JCV8UR,Shiryõ地釣,238,55722,14452,PIPER,26
#2JCLR98VC,☸︎NMYᶫᵒᵛᵉᵧₒᵤ〠︎,282,54506,19358,PIPER,29
#8L9G8299,Cade,321,52398,29241,PIPER,28
#8R90UYUY0,Daddy Jxsus,264,52140,14671,PIPER,28
#2YPGG8ULU,shadow ⚔,246,51628,15478,PIPER,30
#QL008C8U,Tribe|Rouge,318,50540,21252,PIPER,24
#8LY899J,alexjedi,320,50165,21097,PIPER,24
#PQPGJYJCC,reece🀄️,222,48914,10543,PIPER,27
#YL0LUCC2,Summa,319,42005,27403,PIPER,30
#2YQ9CY9V,R7|Quazzi,221,33132,10326,PIPER,23
