player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#889V9VJV0,ℤ𝒆𝕕z𝕚𝔵,344,83153,12787,PIPER,35
#CRJ9C9P,Zocut [YT],389,67938,15527,PIPER,27
#QPPPVUJ,André D,276,61898,13838,PIPER,26
#2Q89PQ2L2,C0L1_NEON4,266,59587,16221,PIPER,28
#QY8R999R8,꧁H҉A҉C҉K҉E҉R҉꧂,209,58849,4368,PIPER,25
#20VRQ90Y9,Massimo,233,58802,11343,PIPER,26
#89QC0RJ0,NRYblue,245,58753,16202,PIPER,26
#PPQC9P0L,『¹³Mღ』Aレ乇メ🪐,274,58378,20052,PIPER,25
#UVUYJUJU,stubbystubmytoe,287,58992,9107,PIPER,27
#2G0RPJL8G,크르릉,326,58539,26733,PIPER,26
#20G0G2J9R,magoo🫧,279,58105,17557,PIPER,28
#2UCURQCVR,Infinitus125,271,58126,12849,PIPER,25
#2G8Y992J,kev,216,57994,9716,PIPER,22
#8YRGCU9VL,RachitAleti111,230,57991,7717,PIPER,25
#8CQPGLC0G,H𝗮rbZ,272,58118,9735,PIPER,26
#890CPP220,Van Gogh,284,57941,13359,PIPER,27
#2Q2V8U8C9,Spodermex,267,57571,22305,PIPER,24
#JQ89V8C,crazymartin,247,57531,4925,PIPER,24
#98CR0QQ0G,✨F<N|LENARD✨,206,57357,8542,PIPER,28
#2P8G9V8GL,〄Bodie〄,217,57000,12305,PIPER,26
#LUPLYPGGC,み•HGR|oliver🍟,189,56800,3533,PIPER,25
#2898QPG2V,LVL|Twizzy 〽️,270,56674,17898,PIPER,27
#VVY9L2CG,Faze Hamud,220,56132,8480,PIPER,28
#8PLLR88VJ,ReturnOfJoshuaツ,347,55910,30623,PIPER,26
#GJP0LQL,kev💤,236,55827,13219,PIPER,25
#PRR220G9V,fluffybunny,223,55550,3659,PIPER,28
#PQ9R9LLJ,J3ll0,249,55238,12508,PIPER,26
#28RYRC8Q9,asdfghj1332,266,55259,14455,PIPER,25
#8UV0QYL8Q,osar,262,54852,13940,PIPER,24
#992GYYU9Y,arm,257,53712,13099,PIPER,27
