player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#LLJPG8PQ,Unknown 618,309,62593,21620,PIPER,27
#Y9GCQQGQ2,littledaddy,188,62155,11893,PIPER,27
#RP0QLQGL,LotiFy,274,57726,18285,PIPER,28
#20JV9UPPU,Kemonito,287,57568,17051,PIPER,25
#920GJGV9V,𝐟𝐥𝐚𝐜𝐨☆,292,57117,14725,PIPER,27
#8YPP0R8R,WL | AngelZ,278,57073,17228,PIPER,26
#VY8RPVL,PG7891,259,55454,16519,PIPER,25
#9VVP9VJ0,IX | Dreamzzz,286,55475,23201,PIPER,30
#8GLLQ8YJL,Mer,230,54801,13484,PIPER,25
#2JJL0RUC2,LMR | SnowNRV,296,54261,22866,PIPER,25
#Y0RP0L8,G.I.Joes,179,54354,8014,PIPER,24
#8PQLYJQ8J,FlattManagan,317,53768,28038,PIPER,26
#L9GY9GU,RavenPugYT,281,53766,17724,PIPER,25
#2CUJUQQCL,hao,283,53692,21187,PIPER,26
#2JV0Q9V9U,WL|Death,269,53647,16792,PIPER,27
#202UGR90Q,IdkLol,258,53385,7214,PIPER,28
#J88RV8YJ,TREVOSE,262,53296,18205,PIPER,25
#299QGQJR,Weary,246,52511,15990,PIPER,25
#LPJ2G22U8,zoy,273,51680,21901,PIPER,26
#QQJVLVCRL,Myles,201,51326,6970,PIPER,25
#2QR2GUYR0,Greysniper,256,51395,9502,PIPER,27
#2L8QPCG2J,ⓨⓑⓛⓤⓓⓞⓚ,319,51317,16317,PIPER,23
#8J920UJ2J,Amin,269,50237,21122,PIPER,25
#2JRRPYR9L,🏙🌇🌆🌃,261,50429,22568,PIPER,20
#GPLQYGCP,biscuit,268,50043,10999,PIPER,23
#2RRJYYLY,HaVoK,325,50072,28966,PIPER,23
#9U9L222R,Seal.z,249,49675,10181,PIPER,21
#29UJCPU9,WL | Raven,252,49386,17098,PIPER,25
#8VVJQRRV8,sisi,257,48873,20464,PIPER,26
#L0JUQ99Q,Sicko,214,48444,9248,PIPER,23
