player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#28RG8YQ0,Star!,386,72910,37672,PIPER,30
#CGC0RYJC,GEM|Overlord,331,72215,24086,PIPER,35
#U0GC0RR2,Mr.Logistic,259,69847,9379,PIPER,28
#Y988U28Y9,GEM|Splyx,206,67821,5704,PIPER,29
#2QC90CRLQ,ZipZap🌩,373,67047,35060,PIPER,29
#9C8YGJR2L,Area 51,325,64610,29082,PIPER,31
#9990C2GR,FireL1ght,277,63882,14056,PIPER,22
#9URVJ0QQ8,まsalt🔪,227,61516,12885,PIPER,28
#2PLC99YV8,者|mikamii ✩,247,61161,5308,PIPER,26
#82QYCLC29,GEM|Pulsar,236,59749,13774,PIPER,30
#V2QV288G,peakypanish,298,59216,29921,PIPER,30
#9GLJUY2CU,Wyatté,221,59181,9505,PIPER,26
#2CLC80QQ,Ducky,277,56763,18024,PIPER,28
#8CRQGJJR,VK_Golden Kings,206,52919,5705,PIPER,27
#92LYRG90,WillyBaud,236,52210,7584,PIPER,24
#YQJL8LCY,经 | Pulse ❤️‍🔥,189,50021,4940,PIPER,26
#8J2GJCJ2,き| 𝕽𝔂𝖑𝖆𝖓 ❦,223,49713,10071,PIPER,30
#9UPJVCGQJ,❥Kazuma°º,278,46353,20429,PIPER,30
#20CP0VC0R,Stxrry🕊,222,46178,11031,PIPER,27
#8JYVC0QLQ,Squirtle,188,44532,6998,PIPER,28
#Y82LQJCR8,あ | 𝐜𝐢𝐫𝐞 🖤,218,44498,13902,PIPER,29
#8JLG8Q922,✨365D_james✨,223,41559,11628,PIPER,25
#YGQLVYJ0V,Zͥa̷y҉ͣe̵ͫ1̕000,205,40780,13133,PIPER,26
#LPJRQLR0Y,Choozy,174,40044,7575,PIPER,27
#QCYL09CGP,𝗖𝗲𝗹𝗲𝘃𝗮𝗻,180,39826,8615,PIPER,27
#VRVP0VUY,strapped ✶,262,37649,13517,PIPER,27
#P9PV8V88Q,don2r,163,36917,5815,PIPER,27
#LRPVLLGLC,니가 터트린,154,35139,6093,PIPER,26
#9GRQC09VJ,Mikegamer3d1,134,27353,4224,PIPER,9
#R90CPYP0V,Mr. Lapraski,105,23255,4357,PIPER,32
