player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#29PR0RG0G,Carson Claps,358,71531,32161,PIPER,30
#J8RQC90C,kitten,292,70367,7132,PIPER,28
#LVQUJQLQ,KeatBeak,271,65608,16767,PIPER,28
#2J9UJ2UG,KM|DeathPool,442,61307,65762,PIPER,26
#U828V2Q9,winspy,320,59016,29060,PIPER,29
#2LVJQ9UY,Lust 残酷,253,57030,19425,PIPER,29
#2JV29C0Y,Gam3drone,226,56292,9644,PIPER,25
#P2V9Q2GJ,EclipsE🌒,216,55068,5953,PIPER,27
#JPC89C0,Joe,302,54356,24528,PIPER,25
#2PQUCGJUP,XxLaserxX,233,53751,11429,PIPER,26
#2YUYLCCR2,kingbear34,283,52829,16917,PIPER,24
#2CCJR8LQR,mergus,347,52753,38280,PIPER,24
#J0UC9QYV,⛩|𝕯𝖇𝖔𝖘𝖘|🎋,255,52429,15740,PIPER,23
#8QGRRP99,TTVgamer_static,209,52491,10953,PIPER,23
#2RU9PGY2Q,boi 2,247,52291,4623,PIPER,27
#GCJ2JVLC,Mr. Boss,224,52207,12683,PIPER,30
#80C2090P0,agaydwarf,230,52273,17180,PIPER,30
#88UYL0G8Y,ZTMN|lonewolfYT,223,52136,5831,PIPER,25
#8RQCYLVU,I slept with,268,52000,14455,PIPER,26
#9GR0LU0VV,sportsrule,229,51701,13169,PIPER,26
#8U90UL8U,NormalAutism,216,51526,5513,PIPER,23
#L8P8RQ20,Blasco jr 🌴,260,51339,17500,PIPER,27
#98VV0JJJ2,Malevolent,267,51474,10502,PIPER,26
#VL0CPPQ9,Reuben,220,51293,7221,PIPER,27
#LLPVGJ9,barn jr,271,51251,8536,PIPER,24
#2QLGLCPU0,OMEGA7$,256,51204,13683,PIPER,26
#Q02CP9GUL,danerd,176,51046,5834,PIPER,24
#LCUU0Q8R0,💚SeaPickle💚,240,50995,18648,PIPER,28
#8GJRUL0JC,dhwuv,195,50646,4683,PIPER,23
#2QC0RGCP,Hoogan,277,51475,4791,PIPER,27
