player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#LJYLYQP8R,MiceCatTail,276,73178,19715,PIPER,30
#90Q2V0VV9,The Fountain,282,69556,20696,PIPER,30
#PQPPJGGR9,Clashstrike,279,67652,15035,PIPER,30
#2RPVURQJP,rapo1,264,67400,7975,PIPER,27
#GL9JVR0C,BS | chris”),320,67057,20041,PIPER,28
#LJ22CJ2,Slayer >.<,306,66963,26056,PIPER,30
#2Q90CGYRP,Manzilla,332,66125,33907,PIPER,27
#2J8URCC9,Adiiiii,263,65014,19369,PIPER,28
#808YVYGCQ,UwU_D.SuckerLov,329,65367,30755,PIPER,30
#82RRJ9GR9,Lightdisc,249,65650,13605,PIPER,31
#2PP092R9C,LSP,218,65542,12442,PIPER,35
#2U0CRYLU0,krasher_crash,254,64175,11471,PIPER,30
#90LRGV8Y8,🥀恨天🥀｜狙神♛︻芫═──,283,64039,20920,PIPER,27
#298UVP9JL,ok,255,63034,16923,PIPER,30
#2QUJQL0,🎭 | Simon,257,63075,15290,PIPER,30
#U9YLUY22,BigBossBob🥶🥶,314,62797,29424,PIPER,26
#9Y0UQ8P2R,MC|BroncosBoy,272,63326,11161,PIPER,30
#ULVGVLUG,natedogg,245,62785,14682,PIPER,28
#2PGYUJ0VC,TTV XX Lazar🐣,261,62702,10463,PIPER,30
#20V0QR8LR,Adrian,259,62764,16871,PIPER,28
#CQPQ28JY,ㄠ|Quartzy 🧸,294,62551,25773,PIPER,28
#8V8V8U9JU,Anxietyy💜Young,306,62341,30175,PIPER,30
#8JGQYCJ08,PurePig,274,62149,22875,PIPER,25
#992CP920,Seasons,286,61493,19049,PIPER,29
#UCVGLP2,brett ß,354,61382,43715,PIPER,30
#2RUR92GCP,Ocean BRUH,289,61437,23535,PIPER,25
#2288JLJU,4ngle,274,61280,18825,PIPER,28
#2QR99RCJG,minicoober,278,60919,11454,PIPER,29
#VGQP008Y,龙｜Neo,282,60916,18541,PIPER,27
#22QC8V0U2,Jules,315,61134,28227,PIPER,26
