player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8UR8VVUU,JDog,303,62359,27031,PIPER,28
#J2UPY99J,༺𝕭𝕰𝖓✰𝓟𝓮𝓷༻,248,61264,14509,PIPER,26
#L90C2JP2,Kent,328,61135,14189,PIPER,30
#2P2G0YRY0,Javier 🦧,303,60480,25542,PIPER,27
#2GU0CR9JQ,chris,349,58415,26851,PIPER,28
#90RLJUU2L,STL|Joundor,300,58432,17559,PIPER,28
#9C2CYRVP,Tripp98,349,57570,31812,PIPER,25
#YLQCLPPYJ,MadeOfJuice,193,55633,3204,PIPER,26
#9C2VR2CPR,𝓜𝔂𝓼𝓽 ❦,270,55574,20414,PIPER,27
#VGQYQLG9,GodModeDanny,219,55389,9998,PIPER,28
#2PCV8UP2L,Antuwy ϟ,263,54907,15269,PIPER,27
#88L2G0GY,GhostBully,262,54895,13175,PIPER,26
#L9GLR98Q,☣juliopro☣,271,54695,16775,PIPER,26
#22RJ8QYRQ,thouXanban,269,54568,12782,PIPER,25
#2JCCRC2GQ,101,217,54443,11442,PIPER,26
#U20PLJJP,HI IM A BABOON,276,54403,15897,PIPER,26
#L0G980QP,zichri,278,54389,17936,PIPER,25
#GPCLU0G9,☆♡Al3X🇬🇹✝️🌌,337,53941,23485,PIPER,23
#2C2RUJRJU,𝐑𝐞𝐲𝐞𝐬❦︎,271,53889,17665,PIPER,27
#GJQCQ0UQ,Austin,259,53562,12255,PIPER,24
#2UV8QLYRQ,$蘿HσʆσHϵανϵɴ茉§楽,227,53579,12720,PIPER,25
#PLVR80L9P,hi 24,276,53367,19919,PIPER,26
#PJJL00LV8,Blakexoreo,254,51613,19103,PIPER,28
#P80UV2R2L,BS | Dryzel,214,51358,7956,PIPER,26
#8VVJQU0R8,Soul🔥,285,51037,12456,PIPER,27
#28UPYPYR9,⚜️Kñòwñ⚜️,233,50552,15263,PIPER,31
#GCLUURVQ,Гульнара,296,50110,23109,PIPER,23
#LYYLRCJ,GameSeeker04041,318,48500,31103,PIPER,23
#PVG2PP80Y,NKT,237,48006,14038,PIPER,26
#820Y2GCL,Ṅ¡cɛShøt ;),216,38324,12457,PIPER,21
