player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8QPQUJUPU,Sacrifício,486,101568,18678,PIPER,35
#VPGGUU9U,🌴HM|VιɳíƈιυʂS,396,95483,30184,PIPER,35
#9QV8V0L2C,7izzi🧸,249,93030,7761,PIPER,35
#QYCLGPR0,Aɴᴛʜᴏɴʏ’き,321,92747,11431,PIPER,35
#80QLC8292,🧀|FeLiPeᶠᵇˢ⚜️,309,92291,9374,PIPER,35
#8J9PPC880,𝐁𝐫𝐞𝐞𝐳𝐲❦,354,91729,16755,PIPER,35
#8C2C9JLU2,Buhoヤ,354,91246,25946,PIPER,35
#CG8R0JJC,⛩️ivͥaͣnͫ 🎋,348,90641,16265,PIPER,35
#9V9PJLVQR,❦ђø∩єyмøø∩❀,320,87169,8871,PIPER,35
#GUGVPU2,🔥Z€RØ🔥,275,85046,7033,PIPER,35
#8J9GC2QR9,P ∆ T I T 0,353,83836,14593,PIPER,30
#9LJ0G22RL,QLS|MITO,264,83526,6188,PIPER,35
#VC9P2YR,愛Aʟᴘʜᴀᴼᵖ❤️,316,83063,8731,PIPER,35
#YP28LYR8G,GHS|Phoenix ❦,334,82401,16556,PIPER,35
#PUUYYQPG,★彡ShaKa🌹頹,404,82219,24321,PIPER,35
#9QJRGLU8Q,𝖙𝖕ꪀⅈᧁꫝ𝕥᭙ꪮꪶᠻ,318,82414,5526,PIPER,32
#2UCC8202,guti 💙,375,81639,17161,PIPER,35
#89YL8VC,|🌬 ⋆SsoɔɹɐW ⋆彡,393,81439,15933,PIPER,32
#2VC2QCQ,あ|Ghost 🎭,342,81143,19017,PIPER,35
#LVJP8U9L,愛Hɪᴛꜱᴜɢᴀʏᴀᴼᵖ❤️,306,81124,13528,PIPER,35
#PG8VRUY8L,♡ Neko 愛,337,80194,23599,PIPER,35
#2YGR2V0G,ＴＲＡＳＨ 新 ドラゴン,346,79737,25076,PIPER,35
#28YJ0880V,爱𝕭𝖙𝖆𝖙𝖆ᴼᵖ❤️,340,79453,9170,PIPER,35
#PUY9CCVU9,乡|𝑔𝑢𝑖𝑧𝑥 🧸,284,78399,10657,PIPER,35
#2U08U29JY,強|ʙᴀᴅʙᴏʏ🐉,312,76367,13140,PIPER,35
#9RG0JLGC,NGYmatthM,370,76524,21129,PIPER,30
#8Y822V9G0,durito de play,252,75794,9974,PIPER,35
#9CL9LCJR,ᗪᗩᐯᎥ丅 🔱,261,75110,5005,PIPER,35
#2PV2CQCVJ,爱𝕻𝖊𝖉𝖗𝖔ᴼᵖ❤️,284,73951,7953,PIPER,31
#9VQJRVV9P,𝔹𝕚𝕥𝕠𝕧𝕚🌓,311,72432,16754,PIPER,35
