player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8Q0JJ9R2U,NX | 𝗔ᴋì𝗿𝔞🥀,316,76564,22751,PIPER,30
#8RVRPY9PY,Neymar🪄💫,302,74575,24992,PIPER,31
#Y88PR80,Miquora♥︎,356,70596,30066,PIPER,30
#99209G92Y,Scar,275,70000,10428,PIPER,35
#Y9PQYY0JR,Firea 氷結 ❤️,238,61318,18183,PIPER,26
#9LY9UYL9U,DaddyDaly,281,60751,22621,PIPER,24
#2LQQCQVGJ,JØⱧ₦❤️‍🔥₳ⱠɆ🐐,273,60006,21037,PIPER,26
#8PJ9QC0J0,coltdaddy,315,58636,27152,PIPER,25
#8YYV9989,COOL DUDE,237,58308,11234,PIPER,31
#8J9G98VVP,a doge,248,57945,17783,PIPER,29
#PYQ8LQUQQ,мeтor🐣☄️,281,57470,23484,PIPER,27
#GCPYY8Q0,肥｜BULL🖤SHOTGUN,288,57251,19176,PIPER,28
#98UQJR20V,贏 | Sydd 🥷🏿,271,56731,12198,PIPER,25
#LR8R2GLVQ,overlord,245,56029,9978,PIPER,27
#9PC28VQV,The Best Potato,277,54924,20464,PIPER,24
#Y2VJQLU2,Robin,278,54637,22135,PIPER,23
#88L02CULJ,NRT|Reyesシ,316,54172,19718,PIPER,25
#8YPJV0CRC,Retro2.0,261,54220,14941,PIPER,28
#PPYLJP2Y,𝐡𝐞𝐧𝐫𝐲,225,53692,11946,PIPER,27
#9JL9LCGGV,🥀Břøkęň|Kîňø👑,250,53149,12202,PIPER,25
#82UYG0880,क|King 🥀,268,52945,16146,PIPER,26
#2L8LPY2UY,Squishy寒い🌨️,302,47989,21682,PIPER,27
#2808YJL99,Crøzzi,311,50000,23942,PIPER,30
#209Y8RPP,Eagle11,321,44720,10931,PIPER,28
#RL2JU8LR,Asterizy,332,46381,40647,PIPER,30
#2PUVURGYG,Daddys Home,166,41278,6858,PIPER,25
#YQ22QYPQ8,₳ⱠɆ❤️‍🔥JØⱧ₦🐐,203,38704,13520,PIPER,30
#V0L2Q08U,NRT | Hสrนkΐシ,154,31973,5370,PIPER,20
#8V2V0CV0G,Justin,202,29043,10020,PIPER,25
#LLPLUYPJ,ZiRoシ|WIN,168,26487,7428,PIPER,20
