player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#20YJ9PLLV,shadows ✗,305,93175,14776,PIPER,35
#2G2Y9JR8,ODE,439,77868,60161,PIPER,35
#GVCV9P9Y,Smoov Chocolate,345,76444,42230,PIPER,30
#92Q2YY2PP,๛🌺| Tweedlex 妥,303,75197,26810,PIPER,31
#RYY2VYU9,ULT|вσв19™︎,342,74763,28503,PIPER,35
#29VY8Y2Q8,Mīxx✧,320,74432,25874,PIPER,35
#GULRUGR,amordeus✝️,290,72550,24020,PIPER,35
#98GGLQRVY,Saint ♱,315,70665,21776,PIPER,33
#8R9JQY9UU,mikishikita🕊️,346,70000,36273,PIPER,32
#8YVJRYGG,BrriN,322,67769,35928,PIPER,32
#898UG0LQU,CEO|Razeen11,292,65221,20491,PIPER,28
#20YU9RL,〰️x11RJ11x〰️,382,64842,42206,PIPER,30
#9GJU0Y0QL,[KLEINEM],343,63493,33906,PIPER,35
#8C29Q0RYR,Arin the bot,317,61943,29937,PIPER,31
#URU2UGG,Zigmonster🕊️,262,60852,12748,PIPER,30
#P80PJ22Q8,인식🪞,285,60603,23823,PIPER,32
#P9G0VYLR9,ed’s slayer,311,55200,27683,PIPER,26
#2UJ2GQYYU,楽 Turtle 楽,250,54717,13601,PIPER,27
#8Q0ULCCYU,𝘽𝙎|𝕋𝕣𝕖𝕪🖤,249,54202,15625,PIPER,30
#2VRVUVLPL,frozenskys❤️‍🔥,209,52235,13312,PIPER,24
#PCQP2GGQY,Jin 🥷,239,51948,12658,PIPER,28
#2CR8CL9PG,sinz🎈,220,51308,16001,PIPER,30
#JG0RRLQ8,義|Gravity ☯︎︎,261,49673,18748,PIPER,30
#JRP2UGG,mort i need u🥺,396,40000,43505,PIPER,30
#LV208L228,Lotus 🪷,160,31356,6262,PIPER,27
#U90C2J9R,Zeus⚡️,164,28983,8041,PIPER,26
#22RP9JLL,Kiyōtakaあ,202,24649,9677,PIPER,17
#8VQVG9L98,TLG | Aspect,139,24127,3786,PIPER,34
#8QVVYLPYY,Math 獲,116,17234,4574,PIPER,28
#YYY0VRU8,blackguy,81,12662,2067,PIPER,12
