player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PYVP2VGR,Scorchyy🔥,303,64167,16778,PIPER,30
#8P0V9R92,Ballz,249,62009,17830,PIPER,30
#92LVYYGC8,michokris 1,321,59474,15535,PIPER,26
#GR88V9PP,⚡HammaLlamma⚡,288,59157,24769,PIPER,29
#C2C2PCYY,JoeSchmo,253,59027,16386,PIPER,28
#2QCYJPJP,Juice Sauce,373,57927,38765,PIPER,26
#8RV0RR0PG,Corey,267,57275,15428,PIPER,26
#2RC2YQCC,Maxwell,287,57009,23954,PIPER,26
#2YQPRUYY8,DOC,240,54989,13545,PIPER,28
#88GY8U9JG,SâltÿNūtż™️❤️,248,54675,18415,PIPER,26
#9RJ2LL2UP,Sleepy Joe,218,54611,15340,PIPER,25
#20L2UJCY2,$IDEKICK,286,52597,18654,PIPER,25
#R2LYPJ9U,yoshiarmy,226,52560,15550,PIPER,23
#U9UPGGVP,❦𝒾𝓋𝓎ヅ𝒹𝑒𝓎✞,228,52396,9730,PIPER,27
#GUVUQ22Q,gg ez,242,52298,18111,PIPER,27
#902JGJ2J0,smalty🚛,267,51787,13966,PIPER,28
#QCP20LGY8,국|𝓟𝓸𝓸𝓟,178,51661,8811,PIPER,23
#RPU8JJ0R,乡𝘈𝘭𝘻,293,50364,28677,PIPER,28
#2CCCGJ98R,PixelCrow,302,50231,22084,PIPER,22
#8C2U8PY0Y,KiRa🇩🇴,209,50201,4379,PIPER,26
#28VRQ9YGP,GH | SCOPEZ,265,49408,7699,PIPER,26
#8C980GQQ,ths,179,49365,6886,PIPER,25
#UQLJU0VJ,Obama,218,48154,14568,PIPER,25
#YQPCLUR00,Ichigo,163,47342,6617,PIPER,27
#9YCQRCYJ,ShouldaRanFrank,262,47293,17109,PIPER,25
#VGUY9PGG,Venom,288,47236,21092,PIPER,26
#YU2R8RJUV,Pumpkin97,186,46070,9224,PIPER,24
#PPQ0Y2PP9,☆☆Gabe☆☆,216,45612,11927,PIPER,23
#82J89URU,BUNK,203,45222,9111,PIPER,25
#8GG9RQQQC,Tokio,222,43756,9978,PIPER,27
