player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#998CLRULG,Phoenix_Gaming,354,78718,17016,PIPER,30
#9R9P2VGV8,さニヤM𝙞𝙖𝙤💉🩸,258,65107,11041,PIPER,29
#9J0Q9YLJC,DC|Epic❤️Squeak,263,61981,12739,PIPER,30
#2V02RJCGJ,Desmond8169,428,61207,57306,PIPER,27
#8JGR99RQ,Alesk,286,60224,22344,PIPER,26
#JQVRRY0Y,Kenjlouie555,326,59388,32264,PIPER,26
#898CURLJR,JonnyBoi,233,57643,11464,PIPER,28
#2LQQR808Q,Probrickthrower,279,57270,10242,PIPER,30
#20LQ08JY9,ящер тащер,252,55748,16913,PIPER,25
#9U9V8VUQ,lil_winkle,237,55015,12756,PIPER,27
#JJYCYQRJ,Ayanami Eva-00,362,54701,27694,PIPER,27
#9U9PGG0RJ,♞WenZik子華𐂂,278,54467,23680,PIPER,25
#2VJ0YRRQ0,cosmic❤️kay,319,54054,25712,PIPER,31
#2YQ9V2CPP,⛩Deez Nuggets⛩♨,251,52777,12972,PIPER,24
#JV9GJC0Y,maiL,304,51853,23774,PIPER,28
#PPG02Q9UP,Wactus Cactus,213,51860,4870,PIPER,23
#2LJR0V0LJ,worn brawler,214,51395,2691,PIPER,23
#Y9G8ULPCL,☔️հɑɾɾվ|P҉r҉o҉,233,51102,11126,PIPER,28
#8UPVPPC8J,Fiery 🔥 Knight,242,49399,15491,PIPER,26
#U9JCVC2Q,adrianthony,320,49204,28371,PIPER,28
#8VJVRLJ8R,TRIBE|lolganx,215,47401,8466,PIPER,22
#V8PU28R9,[ника]Myxa,257,47340,16044,PIPER,25
#9LUVULUG0,Aomine,218,47256,12869,PIPER,21
#88QYGPC8G,Lag_Spot,171,45210,5841,PIPER,25
#GLCYYPPV8,❄️TX FREEZE❄️,171,44905,4867,PIPER,30
#9Y0UQ0RUC,CoolHot1ce,187,42865,5542,PIPER,25
#9U8G88LLC,rapter,213,42343,11950,PIPER,21
#2UC8Q8888,NPK&ОСТАП ВИШНЯ,220,41670,19516,PIPER,15
#820RYGPJU,Dianne,171,37225,8504,PIPER,25
#P8QYC9RPR,Brawler,141,31555,3517,PIPER,16
