player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#CQPQYU80,火 | Adin🧊,280,81581,14459,PIPER,35
#28YQVYLCR,赢 | Pett 🌊,268,80297,18746,PIPER,33
#2YU2YJG2,م ه ا,379,79012,42645,PIPER,30
#GC8VJPG,水 | Ray 🌑,343,76417,29078,PIPER,35
#YL8PLQLR,Derferder,262,76334,19241,PIPER,30
#QGUV0JJP,♆𝓥𝓲𝓫𝓮♆,288,75555,17496,PIPER,31
#P02JULYJ,Idle🌊,322,74179,30662,PIPER,31
#8VQ0UJLY0,ぽ | Kelv 🐊,322,74020,24712,PIPER,32
#88GCUJJR,Theia,295,73798,13681,PIPER,35
#28VQ08U,Raahul,292,72137,20306,PIPER,29
#LCGUGCLQ,钺 | ValkyRay⚔️,315,71914,20949,PIPER,35
#9Q8LU8C8C,FaLcOn,267,71655,20492,PIPER,31
#2UGQ9Y2G,xxrapterclawsxx,278,71563,20914,PIPER,30
#2P9J9JG,🌬Vinnie🌊,272,70437,17096,PIPER,30
#89U9Y9UP0,AntTheLoser,374,70118,33343,PIPER,30
#28C9U9J2L,渦|TomTom,330,70270,21540,PIPER,32
#980URJCQG,宫 | Noel🐬,309,69870,23301,PIPER,30
#9R2C90VR0,voq ✧,262,70367,17053,PIPER,32
#22280V2Q9,siickomode,332,69296,30374,PIPER,30
#R08J2Q0U,剑 | Kavin,306,68524,26911,PIPER,30
#8Y8QG0GPJ,ᵀᵒᶠᵘ♡,281,68069,19610,PIPER,30
#2P8YRV2GR,Prodigy,248,67623,14174,PIPER,28
#20CL80LYJ,cool llama,284,67104,14640,PIPER,28
#2Q2R00YJ,TCM,291,65387,15128,PIPER,28
#GC09VJ28,All Might,328,64900,32825,PIPER,26
#2URVJGR8C,Kong ㊍㊃㊋ 🔪,250,64174,18606,PIPER,31
#809Y9CRP,波Shiro🪷,260,62763,21206,PIPER,30
#20L8U89PV,斧 |Axe 🪓,330,60970,30123,PIPER,33
#P0PRYCJPV,komodo🐉,302,60074,18547,PIPER,30
#RVL99J0,Fives ♚,242,58698,21140,PIPER,30
