player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#829LJ28CU,YT toxicgenie🃏,415,108419,65110,PIPER,35
#JGUYRYQ,Nathan🚀💥,425,92089,71497,PIPER,35
#8J8U8L9YG,PFE | A 🧡,410,90883,52804,PIPER,35
#JJVVRVQ,Sacriネ,333,90456,35972,PIPER,35
#9U0P9CYJJ,Venom ♫,378,88848,42962,PIPER,35
#9YYUPGJ2V,Nerf⁷💯,386,86893,49427,PIPER,35
#8Q2QUV00J,𝐑𝐚𝐳𝐮𝐞𝐧🐲,349,82443,47255,PIPER,35
#2PUVRURC,doordash square,346,82156,37404,PIPER,35
#8Y02VRGR,❄️vSxolar❄️,409,81848,56686,PIPER,35
#2G82CGU,Zee,421,81711,63163,PIPER,35
#P0YCCYPP,AW,382,79514,50819,PIPER,32
#80QUGYC,DaddyCrying,461,77647,78996,PIPER,35
#2LQ0RGCRU,Alyanys🧑🏽‍🍳,393,77231,51184,PIPER,33
#8GGUCYLCU,jolly jeff,384,77125,48027,PIPER,35
#8U0UJQUV,xTopkek,393,73425,51333,PIPER,35
#L9P2R0R,turtle💔,337,73882,39743,PIPER,32
#GVLRUG9Q,JCT|PaiN,369,72513,44639,PIPER,33
#YVQCUGV9,Kayjayoh,307,72250,31151,PIPER,30
#9GPQR8CGL,R7 | GODNOOB 🥝,348,66901,33759,PIPER,30
#ULPYQJP,Scorpionᛏ,342,65335,34425,PIPER,30
#QR2L,OJ,270,64392,23457,PIPER,35
#2LL892UU,Betuchiz🤴🏼🍑,359,59835,42058,PIPER,35
#V29RURCQ,TM | NOOBGOD✨,296,59550,26010,PIPER,31
#PPQRL9Y0P,Tempestt,227,57324,14627,PIPER,31
#LQRC28G,slash,385,49270,53089,PIPER,33
#29C9VL0,GOATSAW,319,49158,31696,PIPER,35
#8Y8Y89JUJ,Falcon🪶,309,47839,30358,PIPER,35
#9QLL2UYPR,❄️Рika❄️,312,43574,32884,PIPER,30
#28PPLLJ8U,🖤Sam🖤,325,41336,36300,PIPER,35
#28RVRLPR,KOS | Kennedy가족,352,20001,38540,PIPER,35
