player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#L9LJ2UGU,DSG +++Henya,243,63057,16778,PIPER,29
#8PRGCCYV,DSG Mike P,269,57357,19287,PIPER,27
#2YPVQ8G8V,DSG Reevans1,261,56359,11365,PIPER,25
#PYY9PR8GL,DSG COME ON NOW,213,56035,14088,PIPER,30
#PL299GP8C,DSG Hit N Run;),313,55877,28109,PIPER,25
#P2VLQ8P2C,DSG RestInPeace,212,55001,8302,PIPER,27
#JR8U8J8U,Jer is a GOAT,208,54350,6462,PIPER,24
#YR0LQY0C,EBIFang,199,53911,6695,PIPER,27
#YQ28CCG9,Squidd,271,53796,10642,PIPER,24
#8Q9CVCPJ,inurwalls👁👄👁,223,53710,7675,PIPER,23
#822UY2J80,DSG Noobie,240,53520,5090,PIPER,24
#2GQUGRUCV,DSG El Rey Pele,257,53470,20585,PIPER,21
#8JQPLUJ8Q,NOTDudePerfect,227,53489,11599,PIPER,24
#PPGUYQYQ2,☠️Kevin☠️,203,53363,6409,PIPER,30
#2UYYURG0V,King_B_10,279,52672,6934,PIPER,27
#2RRG9PV,CONNER,235,52257,7168,PIPER,22
#8G92C2CJ,Sircris4jc,294,51848,17197,PIPER,23
#QYYV0V8P,DSG Elextrix,209,51363,9121,PIPER,25
#888UV2Q9L,DSG Pandamonium,207,51471,10652,PIPER,26
#2QCQJJY09,CRV5H3R,227,51403,10356,PIPER,23
#YRCPR9CP,DSG Jeff,207,50948,8048,PIPER,26
#9PGYYYL90,DSG Caleeb,258,50167,11431,PIPER,24
#LG92RL0JJ,Taco,230,50204,13972,PIPER,25
#PPGUY8QG9,👑GERARDO👑,220,49969,9094,PIPER,26
#RRJ08V8,xdThigh,356,53019,19955,PIPER,27
#9P020LQGY,DSG Brad_Ash23,222,48997,11632,PIPER,26
#PPG9Q8UL0,DSG keyser,256,47287,12708,PIPER,22
#9QJVCQJYY,DSG Superior,240,45555,12069,PIPER,25
#RPRC20P2,DSG DALVIN,196,44052,11713,PIPER,26
#C2LY29UC,DSG KidUno,282,35135,24255,PIPER,24
