player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#82UCLY9C8,Kronos🇧🇷,409,107818,63981,PIPER,35
#9UG08PQUY,Chucky🐝,384,105246,21694,PIPER,35
#J8YPGR,Twitch: Tobi,408,104349,64320,PIPER,35
#PRVRG99QC,alekzz愛,421,103426,57843,PIPER,35
#VL8U2PV8,Pisci Is Back👑,368,103262,47474,PIPER,35
#Y9CCULV,TTV | Musaabi47,369,102655,50084,PIPER,35
#22Q0J0P2P,LUCKRASS,430,102470,54638,PIPER,35
#9PVU00U2P,Kaso🏐📌,379,102004,32674,PIPER,35
#P2G8CUUPU,TH |August⚡️,349,101207,40522,PIPER,35
#80808J2QV,ϟƳourDea†h💀,393,100763,36862,PIPER,35
#280RJ92JC,•BloocKi’,423,100411,71777,PIPER,35
#QL9URLJC,pray🩵madelyn,428,99882,47180,PIPER,35
#YLV8CL0R,Asta🩵JGZ,418,99444,49953,PIPER,35
#8PYGLV9VV,Vex.,303,99140,27910,PIPER,35
#2QPJQ8QRQ,bagi,438,97937,59202,PIPER,35
#8JUPQUC0L,cracky♜,382,97628,49639,PIPER,35
#8GJY9G8UQ,𝓔𝓿𝓪დ,467,97557,48365,PIPER,35
#90YGQVCV,Jonas,407,97394,60961,PIPER,35
#28Y2VQV82,Hillen🌑,339,97150,38106,PIPER,35
#YRURQRPUR,Chipz,337,100000,39171,PIPER,35
#8QR9Q9V2V,𝑴𝒂𝒕𝒊 ♡︎,395,96999,52141,PIPER,35
#9URJR88,Fa11ouT ❤️,286,96618,26570,PIPER,35
#P2RUVQGY,メSteff💙,324,96239,33977,PIPER,35
#9L8J898,Code: Madalin☃️,341,96181,30714,PIPER,35
#2U8U8Y0YG,TH | Mคsͥᵗeͣrͫ,391,93575,47159,PIPER,35
#8982L9QYP,TH|Izana⚡️,395,93724,44871,PIPER,35
#Y8PLP8VY,Remica is him,395,93329,62306,PIPER,35
#2P2LVQJ08,Golden Retriver,369,91895,37160,PIPER,35
#28CGVVJGG,mewtu,380,90492,52080,PIPER,35
#V9QGJY9,YT:Landi,500,87028,99494,PIPER,35
