player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2YY8VPUU9,TOG|Connor 🐣,318,79846,25399,PIPER,32
#82U8PL8UV,TOG|MAV,233,74210,16324,PIPER,34
#QUYR9Q22,bacon🖤rev,332,72164,31033,PIPER,30
#82LGQPURC,amo🧊🥶,273,70811,22236,PIPER,35
#9RU8J98R,被到篇她買,257,70319,16875,PIPER,35
#PQPPY88VL,DarkFire,304,70237,27976,PIPER,30
#99GJ88P8R,TOG|King Killer,324,69224,30944,PIPER,32
#P0CVLJ0L0,Mystery,299,62168,20787,PIPER,29
#8PU9RUUR,TTV | JHardy16_,251,62081,20752,PIPER,30
#8QULVR8R8,Buhnaynay🪖🐸,272,59673,18468,PIPER,30
#PV2QJU2J,Tootflek,225,56968,14968,PIPER,35
#LPJPCCUY2,CROW❤️COLT,226,54823,18809,PIPER,33
#L9LCLCLRL,ejr78,222,53152,8894,PIPER,25
#YURRGPPC,Brawler,176,52578,3462,PIPER,25
#280CGJQL9,TOG | Duckie ❤️,257,50837,13163,PIPER,26
#2PRC9P029,TheLegend27,246,49547,17780,PIPER,21
#2V92RJV9Q,TOG|Anxious,226,46587,10582,PIPER,25
#JQ9PJUL,Boss,300,45095,27171,PIPER,26
#9G290RJR,Bryson,311,44856,23713,PIPER,30
#UP9V9C08,darshy ツ,245,44660,16273,PIPER,30
#889P8LYJJ,TOG |Danny,193,44238,8332,PIPER,28
#8JUUGJLPL,Unknown Spy,187,43837,10636,PIPER,20
#8PGLGUVUL,TOG | wqstvd🍃,245,43842,16638,PIPER,28
#Y20JPLJJ2,X | TheBull,230,43147,6337,PIPER,22
#YPGUUCUUY,nazgul,204,41612,5910,PIPER,22
#2C8J89JLP,TX|ZGODNI7,250,40034,12996,PIPER,28
#YJQJLCVLG,TOG | Avalon,192,39312,9316,PIPER,27
#PPYQ299P,TOG | Tibbers,162,39189,7715,PIPER,23
#80CY8VUY,FlickadyFish,173,27224,7172,PIPER,22
#PU009CJPG,TOG | Ldog403,88,15713,2636,PIPER,14
