player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PGQL2QJPG,DAVWTL,361,68613,28238,PIPER,30
#92QYGVQP2,HV | CaptainYao,250,66668,15400,PIPER,30
#29JJJCQQ2,Brawl Daddy,319,62525,20455,PIPER,30
#L8UCVY98,Victor,322,59059,14036,PIPER,25
#GUGYGV02,ABlueDragon,311,58996,26352,PIPER,25
#2QR829G9Y,€AL€ | HADES,294,58578,12419,PIPER,28
#JJQGPR82,你咩都抽唔到👍,386,58172,27829,PIPER,25
#PRG9VVYJ,Ado😈,266,57553,10870,PIPER,29
#PJRUL829,Fanjiko,252,56719,11550,PIPER,27
#2GRRCVGV8,AutoAimGod,248,55790,15070,PIPER,25
#8G2CY22C,boolin,233,55769,10570,PIPER,28
#PGVU80V,Waltizzle,301,55226,27924,PIPER,25
#JPUV0CPV,QLS|Ω⚡️,302,54815,18403,PIPER,23
#LPYJ000P,Haiyin,268,54280,15489,PIPER,25
#C298JU8C,Equilibrium,290,53306,24058,PIPER,29
#VPRQGJY,pizera,317,52365,28574,PIPER,24
#22V92LP9Q,FORTUNESOLDIERZ,259,51620,14068,PIPER,23
#Y0LG0CRVG,cloud☁️,239,51430,9560,PIPER,25
#8GULPVYC,30s,277,51214,18670,PIPER,30
#8VYRVYCJ,MindMaster,298,51126,19390,PIPER,23
#22Y9CR999,Nefarious,267,50908,15410,PIPER,25
#LVVUV0YJ,JazzyJeff,231,50683,14653,PIPER,25
#PR908Y00R,Sergio,234,50239,13660,PIPER,26
#9VLVJ2LV0,ツ ᴷⁱˡˡᵧₒᵤ Vapor,227,49231,15607,PIPER,25
#P9PVQLU9V,Æ|QUICK 🥀,235,48576,9261,PIPER,22
#28CJYGRJQ,plaz,245,48390,17726,PIPER,22
#8GV89RGQ,Tyan,241,45633,12990,PIPER,24
#8022UYCQ,jw,247,44815,8140,PIPER,25
#8GLRV2QVQ,henryy,185,34688,3666,PIPER,25
