player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2Q0JRUR9,Shuckle,335,71438,36607,PIPER,35
#YVYJPYJL,NPC|Scaja,294,61620,23609,PIPER,29
#J0JQPQJG,Trees 😍,268,61303,14985,PIPER,26
#9QVQR0GR,Papa Franku,338,60655,31357,PIPER,25
#2QUJURQ9R,❄️Iceland❄️,212,58648,6916,PIPER,26
#PYYQYGR,Agustin,229,57896,10285,PIPER,28
#980Q0VVCQ,billy bob,239,55782,15199,PIPER,27
#20GJPJ8Y9,Sniper,344,55730,14424,PIPER,30
#JVGRUCP0,TRB|ChiefVappy,249,54028,17494,PIPER,29
#YJ0PP0YRC,void,213,53666,10333,PIPER,26
#YCGQ9U0JY,NPC|Sebbo,205,52700,12156,PIPER,23
#9PYQPLU,IRONMAN,215,52595,9117,PIPER,26
#2QLJLCCJ8,Sewykik,257,52064,15712,PIPER,26
#90ULQ2QL8,Connor,222,49646,8754,PIPER,27
#8RVVQLCVQ,mihu,229,49272,15236,PIPER,27
#8882YP22,Duck,274,49040,11780,PIPER,24
#8U9QULCU0,chicken nugget,241,48961,13312,PIPER,28
#J2V8CUPQ,Danon?,215,48741,14168,PIPER,29
#LU0PQQLC,Faze Bolt,242,48249,4802,PIPER,22
#YCY0J9P,Gino,248,47779,15145,PIPER,22
#V9LR8PGP,RomanLegion,251,47793,15467,PIPER,26
#9QGQ288LP,C U E V A S,196,47590,8393,PIPER,25
#YRGYLPJG,▄︻デ══━一💥TIMI,221,47599,13575,PIPER,24
#2VJPQ89LP,cng🍔,330,47460,27945,PIPER,28
#QU8VP98Y8,IJust,162,46857,5410,PIPER,25
#9JU9PJQU8,💫クリエイター🔥,207,46456,10129,PIPER,26
#80Y2099GV,Birdie😍,204,46248,11475,PIPER,27
#88R0JRVV9,Daniel Amaru,256,45958,13048,PIPER,29
#292LV0RYJ,Highlander,329,45815,21834,PIPER,22
#8G8GGQU2,P_dude_007,160,40438,6478,PIPER,23
