player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2CP8RCRQU,Bartard,344,69200,34577,PIPER,30
#9RGYRVRG,Duet,364,68172,32684,PIPER,29
#2R9LQRL0V,Blast🚀,392,67804,40548,PIPER,30
#YVR988JG0,Daddy 🥵,267,66647,21975,PIPER,30
#Q9QPP99U,BrianTheGod,310,61958,25607,PIPER,26
#G2QR0P,poopstealer,261,61701,13627,PIPER,26
#Q090P2PC,xX-N7-Xx,311,60909,24588,PIPER,30
#2C2QV2VU0,⛩️Desperation💔,273,59916,18413,PIPER,28
#802V8VV0V,hayley,263,59483,21744,PIPER,28
#2JQ9RRU,浪跡,269,57091,22597,PIPER,28
#8YQULRUP0,STMN |FDN47,249,57079,12712,PIPER,28
#88V2QV8JJ,꧁☬𝓙𝓪𝓻𝓮𝓴☬꧂,241,56955,11242,PIPER,30
#VYUYVG08,Shtev,319,56972,25872,PIPER,27
#L2R9YPRJC,shelby,255,56186,19245,PIPER,30
#GY9VYYQ8P,SoulSaver,203,55842,8755,PIPER,27
#8LJJQRUUL,Erok,280,55865,18934,PIPER,25
#VG8RRYL,🥵W_RIZZLER69🥵,281,55665,21408,PIPER,28
#Y8JQGGYYL,leavesuwnothing,221,55319,13483,PIPER,28
#9RG9CQYLQ,disco marek,224,55184,6875,PIPER,31
#222QGRG0R,SaFFu,222,55046,12751,PIPER,24
#2J9V09YL,⚡Venup,235,55069,6793,PIPER,24
#8GC0R0QQV,69,221,54651,13453,PIPER,29
#8JQY2U98,Ronald,222,53920,13075,PIPER,26
#PJ8RPGUGY,Psalm 23,280,53614,12189,PIPER,25
#889CL8LL,cloudy,272,53124,21595,PIPER,25
#PY2PPU9U8,Frozen❤️Squashy,252,53129,13651,PIPER,30
#2VLL8RYU,rpm,203,52800,12743,PIPER,30
#2CQ0U8R2,Draco,246,52759,15548,PIPER,26
#YV0C2LRUR,Thonyᵀᵒˣᶦᶜ🔥⚡ʰˢ,196,52597,9149,PIPER,25
#9JU22JY8Q,Dash,211,51715,9592,PIPER,23
