player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8PJRRG2C,GuilleVGX,496,110074,101213,PIPER,35
#L99892JJ,Mega❤️‍🔥,415,105452,41749,PIPER,35
#R2R2JV9C,qR|Aste,417,91452,63751,PIPER,35
#Y2CU828,Jorge🖤🐼,500,88621,102427,PIPER,35
#GGRLLPLV,EP |Colli234,400,88195,58264,PIPER,35
#22GQU2LLP,IᴛᴢFɪʀᴇ❤️‍🔥,378,86584,44192,PIPER,35
#99QGR88Q,Fєяиɑиdσσ.⚘️,352,85609,39979,PIPER,35
#99UU9Q08,Fearless♛,421,83407,55729,PIPER,30
#2GJCCPYRP,𖣘𝚉𝚘𝚛𝚘❦,444,83036,61878,PIPER,33
#8Y8JQRU8V,DeleenVGX,344,85591,40377,PIPER,35
#20J09PGYU,Øffsxy💘,426,81129,53985,PIPER,31
#880VRJJU,₲ηα |Oskitarrr⚡,360,80173,45139,PIPER,31
#2QVJYJLG0,Abeeeeeel❦,410,80204,62429,PIPER,35
#22CJQ0828,DerChr1sti4n,363,80209,42239,PIPER,30
#2VPL29LG0,Tryhard🀄️,364,79868,49652,PIPER,35
#GJ0LLJ8U,EDi ♋️,420,79438,64104,PIPER,32
#9QRGRR0L,s3rgioᶦˢₒₚᵇʳᵒ💦,377,79267,52265,PIPER,35
#922LVGC0U,⌁Hassan⚚💫,342,78968,39741,PIPER,30
#28YR2JVUV,⌁Frostyy⚚💫,384,78799,47873,PIPER,30
#G0YYQVJ,яubén💛⚡,472,78178,54212,PIPER,31
#22V2URV9V,CDA|Matchless,367,77527,42038,PIPER,33
#82VQRCPCU,xRezxiiz死🥷,338,77347,36173,PIPER,32
#CGYQVVQ9,LEWis ♎️,277,77497,27062,PIPER,30
#8JCQ0VR0,Fanta🦖🖤,353,77165,41554,PIPER,30
#288U8VYUV,⌁Teka⚚💫,293,77011,27118,PIPER,30
#2208QGGGL,Dompe🐐,404,77059,54432,PIPER,35
#CP9GUUJC,Masmoki,309,74217,22778,PIPER,35
#J2PVRV0L,ʙʟᴡ|LiLPEEP🌙,406,74071,54197,PIPER,28
#VV2LVGJ2,CDA|ZaWxck,343,74050,35183,PIPER,30
#29L2JQPGL,DetroVGX,330,79537,39933,PIPER,35
