player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#R00LGQ0G,Jeff,240,65136,16621,PIPER,32
#2QC2JR8YC,chad phoenix🤫,351,65408,35634,PIPER,30
#P8C0VU8LY,𝒦įʐɱęţ,309,62692,32221,PIPER,27
#298R289L9,Alex G,253,61669,9576,PIPER,30
#LPGGL8U,Root🫖,428,61715,86247,PIPER,30
#PG02QQCPP,BS |nOOb”),280,60838,19657,PIPER,30
#LY92YYU0,生而为人，我很抱歉,263,60444,11708,PIPER,28
#9PQ9Q92YC,꧁乂✰𝙢üҜ𝓸𝘴✰乂꧂,287,60115,22455,PIPER,30
#908VGGLYG,SharkyyVS 🕊️,258,59447,12388,PIPER,30
#GLQVJPYV,❄️Pengu❄️,279,59337,21222,PIPER,30
#80C8GUGL9,Rt Brawl pass,262,59319,16155,PIPER,31
#8PRQC8PGQ,HyxMath,231,58667,7274,PIPER,28
#2YY0R8LUG,Le_Dìrectør,269,58724,18137,PIPER,25
#2LJPUYVVY,WesM,263,58805,18864,PIPER,27
#9Q2JRV9YQ,Axe ❄️🕊,293,57486,23769,PIPER,30
#9CR2L0CJR,nick is a pro,251,57393,17109,PIPER,23
#2L000CP22,Tribe|Viper,280,57341,6093,PIPER,25
#9G0Y09YUY,BigDaddyHarris,263,56289,19521,PIPER,27
#UPVQ8UJU,𝑭𝒍𝒆𝒕𝒂❦︎,285,55836,16230,PIPER,25
#20PLYQ2UY,ospire,318,55705,25431,PIPER,29
#2JGQC0V,Falling Up,249,55583,20449,PIPER,25
#GRQVUG29,TnT シ︎ Venom,293,55378,23551,PIPER,24
#82GVYJQY8,NK | DOMENICO,254,55250,15906,PIPER,27
#UUU9PUPR,FF | Kev,270,54633,23276,PIPER,30
#2JGLJG98Y,jussufjasper,250,53987,17208,PIPER,25
#9PU8PQJYJ,try hard,227,53439,12737,PIPER,27
#2CR0CQC88,Oofme,250,53418,15679,PIPER,24
#99R0PYGYG,joe mama,246,52792,18711,PIPER,27
#VUPQLYQC,mini,78,14222,1819,PIPER,20
