player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#90QPJ2GYY,PFG farosh,249,66182,10070,PIPER,26
#2Q098P8LR,RawrXD!,356,65421,34724,PIPER,25
#2JLLVVYYL,BoxingChickenJr,255,60331,15382,PIPER,28
#99RG2QP2V,BuilderRobot,287,58103,19015,PIPER,29
#QGQQYQ0P,QLS|~DavidR~,308,57800,27842,PIPER,30
#82CPLC9UU,생크림거품,232,57558,9117,PIPER,28
#8J0JQ9J2,SuspectCS,301,57555,23556,PIPER,29
#9CG0VJGLV,ᵠⁱᵐ𝖨𝗇𝗌𝖺𝗇𝖾,235,56200,7408,PIPER,27
#88PVJ8GGC,PatrickStar,243,56137,7987,PIPER,27
#PU0PPJP0L,B2B|joshua4001,247,55683,15287,PIPER,31
#29YU9UYG,Cart,250,55655,12892,PIPER,30
#PQLPUR,Glitchest,227,55578,16392,PIPER,25
#2QVVRR8LQ,IG|Shrek,299,55198,24699,PIPER,26
#90VUJGQJP,Jasmin,267,54839,7110,PIPER,29
#2RYU2U2YU,Lucas,194,54778,9488,PIPER,26
#8P8YCQUY8,Waterness,239,54107,11347,PIPER,28
#8LCQ8R88,JMMH23,299,53953,23095,PIPER,27
#2UQUCUPGL,TenderCow A-1,201,53687,9347,PIPER,25
#PYCJU98CG,HoRu,280,53525,19411,PIPER,28
#8JGYUUU2P,IceFlamer247,248,53231,9788,PIPER,29
#8Q99JJC8,Undefeated,305,52899,18339,PIPER,25
#YVCLPPQ2V,☠️Hades☠️,211,52875,9119,PIPER,26
#2U09GRRCL,bigmack69,193,52913,5198,PIPER,25
#L8Q9UL822,Σ(･o･;)Cadov🖤,226,52857,6751,PIPER,30
#8CG2YCQ0V,Carson,271,52384,20089,PIPER,28
#QRGLG8CU,合|Kanekii ⁱˢ🥀,288,52465,15390,PIPER,25
#80Y8CCPQV,CG|doghousehold,226,52012,9363,PIPER,23
#9GRQVQ8YY,Mc Mat,252,51446,18664,PIPER,30
#LY0CCGYUL,Tiny,253,50262,13078,PIPER,23
#8GQUGYJG,Շђєฬ𓃗,225,45142,14978,PIPER,26
