player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#CJ2YGVG,lozo🀄️,290,67391,23680,PIPER,30
#9PJ0YGGYC,∆[Sprait]∆,241,62267,11931,PIPER,27
#28GRRCUGR,whatsmynane,275,60755,23659,PIPER,30
#RY9RQ2Y8,Ultra,258,60678,10953,PIPER,29
#PY28U9VUU,ђø††мøø₪🌙💔,257,59081,10688,PIPER,28
#2VGCGGUG,xTr06,248,58184,11704,PIPER,25
#2Y29CLPC0,bob,246,57404,12735,PIPER,28
#9P9RLY9U,sugma bolsbich,271,56365,18713,PIPER,30
#Y29C0C2GP,RAIN ⛈️,279,56153,11942,PIPER,27
#9VPVP80GQ,Sirikz?,253,56191,17196,PIPER,30
#CU8J2VGL,LK | Yanni,278,55848,11950,PIPER,24
#P2JUPCGP2,Solar💫,278,55599,17720,PIPER,30
#8GY98V0U0,Ganninian,247,55299,7340,PIPER,29
#20RJVQ8UY,Про макс,254,55251,10109,PIPER,25
#292GLVYV0,虐殺畜生,268,55225,16926,PIPER,27
#JY0J9CV,purple monkeys,256,54752,18797,PIPER,29
#PYQ99VC9G,J小狗,201,54489,3294,PIPER,26
#92V2UP8L,❌ARES❌,254,54395,20812,PIPER,26
#LYGRLUV0,Pigsterrr,250,53983,14838,PIPER,26
#290UY8YGY,브롤러,267,53643,12508,PIPER,28
#80U0P08PG,TippeTfue,263,53402,13779,PIPER,26
#2C2JUUJR2,Foxy727,258,53530,21319,PIPER,25
#Y8JCUUPGP,コツクcole🎋⛩️,215,53211,13315,PIPER,23
#89VRYYC22,ArthurDias,271,52572,14710,PIPER,25
#P0GCQYYRG,*****,242,52356,11232,PIPER,25
#P0LY8RRCC,Michael3.11,235,51942,19005,PIPER,25
#2V9JL82G2,ToastedOctopus,180,50689,5947,PIPER,26
#8PRUCCPUL,Cesalon|carry,175,50545,3498,PIPER,25
#VCJ9PYQ,Mrhinton20,126,26492,3436,PIPER,16
#2LV882YLL,Lozo🩵,76,15240,1479,PIPER,13
