player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#LYVRLCG0Y,Simon ツ,250,66312,20871,PIPER,29
#CYGR0L82,FLABBY,284,61581,17238,PIPER,27
#28LLVVCVJ,Galaxy_panda06,305,60653,25814,PIPER,27
#2809J2R8U,MasterNoob,274,59976,20283,PIPER,28
#PJGYUJGJY,SL |Exagryph」🖤,308,58271,24637,PIPER,28
#CYGL90VG,CATTYWAMPUS,273,56440,17464,PIPER,27
#2UPRYJ82V,L bozo,263,54868,14145,PIPER,27
#2QVJRYGP,❄️ZackF8❄️,292,54747,15545,PIPER,24
#PR2UUGQL,bob the 6th,234,54742,8457,PIPER,26
#8PVCGRP2C,Raging Cheese,247,54563,12490,PIPER,24
#JYLPR8Y8,°DC°|💙MARVEL💙,285,54599,17694,PIPER,22
#PPLYLL9PG,graham 🐬,170,54493,1810,PIPER,25
#29C2VJY0U,dont betray ❤️,217,54263,9714,PIPER,25
#9J9UQ0JVR,Jul,322,53932,11755,PIPER,24
#9CLU22PVY,"CwAt⭐Al,RuAkO😉",260,53794,10726,PIPER,25
#RVRRYVYY,Clammy,239,53655,13453,PIPER,24
#8LJYPUYQU,Stefan,268,53375,14755,PIPER,23
#PQJ9J2QV0,DeathOfJordan,240,53424,10094,PIPER,28
#2L8UCP0GY,listen to lucki,313,53261,27952,PIPER,29
#LGC8RCQ9,Surgical Strike,297,52803,16746,PIPER,25
#2288PY988,dentistguy,384,52640,19534,PIPER,27
#L0UJ08CQR,pepsoup,265,52364,14192,PIPER,26
#2PR20RUJ,Dylan,283,52090,3322,PIPER,24
#VLVCVGGR,кунчиктвоеймамы,271,52795,9087,PIPER,27
#999QRV9G9,Brawler,274,51322,22847,PIPER,28
#8999VGVUP,m9tth9w,215,51048,4660,PIPER,24
#88GU9UVVC,nietsdlog,218,50006,8169,PIPER,27
#LL9YRRP0,✨SpinobeatRex,286,49734,19574,PIPER,24
#P8R8QU9UL,ConquerorMufasa,276,49737,13275,PIPER,22
#89LCL0P0G,Crakas In Paris,199,48666,9517,PIPER,22
