player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#C0V0YQ99,DestyWist|OP🍀,267,70201,14555,PIPER,30
#2YLQYRQVU,恋.人xUnit💫,318,67093,21713,PIPER,29
#2CCY9CYGG,XoR_Bs🌐,287,65872,14561,PIPER,29
#29J9GP9,𝚆𝙷𝙾𝙰𝚄?🪐🌌,275,64974,15596,PIPER,30
#8LRUJVLV0,DONATER,327,64396,20687,PIPER,29
#98VGYR9UJ,ᴇᴜᴄᴀʟʏᴘᴛ💘,289,64612,7378,PIPER,29
#U2GUUU9Q,RavvCheck,318,63564,27268,PIPER,30
#20RVCGJ,AndPol_top1gg,284,63258,17113,PIPER,29
#2PJUL0VP,klop,290,62584,14081,PIPER,30
#229YPLUCU,SHN|Krustu.D🌊,382,61617,50689,PIPER,35
#8G0CC99G,Yeetsauce🤔,308,61666,20571,PIPER,29
#Q2LCQU0LQ,Мочкун,238,61314,12264,PIPER,23
#2G2LR0QJU,Falldy,301,61294,18796,PIPER,29
#PRG8QVY99,忠実な luckyy♡︎,245,61160,13240,PIPER,28
#V98YR2GU,iSnqwyPup,292,60727,17104,PIPER,30
#2RVR2VLGL,(T.D),252,59803,8589,PIPER,28
#J99R8VG,h1st💞,307,59462,17075,PIPER,29
#VPYUJJRC,berzerk,293,59008,11798,PIPER,27
#LUR0V09U0,𝙰𝙴𝙶𝙸𝚂,217,58467,8383,PIPER,25
#2ULLQ0LPU,⚡FLESH⚡,262,58290,19334,PIPER,27
#8VR8QQQJ,٠•●๑۩£řįx۩๑●•٠,335,58153,20363,PIPER,25
#2P98JYG9J,☻︎PROᵍᵒᵈ☻︎,328,58029,24647,PIPER,27
#8GGL88G2C,stiX,273,57169,15597,PIPER,28
#YRUQGL0R,SuperAdamTitan,244,56818,9434,PIPER,25
#899LG8L02,Ｖａｉｐｉｋ|🌪️,228,56517,6850,PIPER,28
#PLQRQCV9Y,hesgonnafall,188,56624,6215,PIPER,25
#Y8CQPGG2R,Bodybuild❤️‍🔥,270,58665,16500,PIPER,27
#2R2G8P8V9,bekosh❤️‍🔥🥀,258,56496,14615,PIPER,26
#LPJ8U2RG0,🖤VoRbLoK🖤,179,52659,8330,PIPER,24
#PRRCULUQJ,artem,155,35012,4848,PIPER,16
