player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PCQPCJ0Q2,BB | C͢er🃏,287,72811,23671,PIPER,30
#2CPJ88UR,GameSlayer,320,71679,19497,PIPER,31
#8UQ8PRJ8C,Shark|Aaron☺️,318,71140,23964,PIPER,31
#8PUJLURLR,Drizzy crêpe ☔️,284,71259,26530,PIPER,28
#9J8LYQY2Q,Zeraora,327,69650,25757,PIPER,30
#C9YVGUCV,scorp🃏,292,66499,20852,PIPER,30
#8RGYLJL02,why :(,282,66477,27512,PIPER,30
#2Q8CJRJUC,LAZER WOLF,287,65833,18471,PIPER,28
#2LPVY02J8,.•.밥🍚|Colt,263,65735,18409,PIPER,30
#8QL808UCJ,"""lolipop2""",251,65031,18142,PIPER,28
#29282C802,𝒮ℴ𝓅𝒽𝒾𝒶,248,64702,18655,PIPER,33
#2CVCPPC8Y,Astrø,268,63778,6951,PIPER,26
#20898L2VQ,A|X,296,63145,8711,PIPER,28
#JLCQULU,AS/Razor,351,62948,33763,PIPER,28
#82LRLV0QC,Quinta ᶫᵒᵛᵉᵧₒᵤ❤,257,62263,8910,PIPER,31
#80PLGCU8V,IcyMizu ♡,277,62066,20900,PIPER,28
#9Q0RJPRPC,uzi 🤍,256,62020,9730,PIPER,27
#8GQRLC8JL,Sensei XD,344,62277,26446,PIPER,30
#YVRPPGJ2U,Mr.Mercedes,327,61321,34393,PIPER,26
#V8UJCV0Y,KingCarpenter,235,61284,10402,PIPER,27
#2GLRLU9LU,Adwaith🤍,281,61115,16480,PIPER,31
#J2RUGUP2,（´-`）.｡oO slug,288,60780,14908,PIPER,26
#9JQLRPYVV,Sigma|Xiao 小可爱,303,60726,20995,PIPER,28
#JVJ8YRG0,Firelord9,234,60035,14286,PIPER,30
#20YVRLY2,RPK2105,249,58591,17612,PIPER,27
#2GQ99Y8QP,ThiccEthiccs,208,57877,9943,PIPER,23
#8JLGG9GVJ,⚡️Syaz☄️🥀,282,53226,23286,PIPER,30
#JJVYQ0J,noah,186,53023,8801,PIPER,30
#PP0RJLU,DAN,197,52028,8868,PIPER,30
#CLJLV9Y2,Collertyp,231,39556,10508,PIPER,27
