player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2RC9GQL0R,Silly,274,67231,19942,PIPER,30
#889RCCGUG,~Wind🖤Hour~,244,64781,15582,PIPER,30
#8CCYYCYLP,Porkchops,304,64014,18237,PIPER,27
#2GCJJP0G,⚡️ØMEGÅ⚡️,274,61850,17900,PIPER,30
#809PG92U,ForsakenLord,256,61649,16388,PIPER,29
#LQV9JUL8,Bad Company,323,62630,29857,PIPER,30
#22222CYJV,izan,263,61018,15319,PIPER,28
#9JLJ8GJP,Xx$nipedxX,284,60125,27609,PIPER,30
#2GRL8G0CL,Dank,296,59059,18958,PIPER,26
#CGLCUUVC,wlr tream,244,58806,13503,PIPER,28
#P28VQJRY,ben 🧸,286,58028,23086,PIPER,30
#2YYCJ8829,926,255,58722,14965,PIPER,30
#2CY0JRYJ,Sync,228,56653,16811,PIPER,30
#8PRCJVP8J,𝚒𝚗𝚝𝚣𝚣 ニャー,256,55855,15590,PIPER,26
#8YU8GVQU,erpesPR,273,55676,20887,PIPER,25
#22C2Q2UCL,winston,199,55533,9715,PIPER,30
#RPLCCUGC,Vladic,275,55479,12176,PIPER,26
#2280JCC0U,LubLub43,346,55257,35977,PIPER,24
#2YR9LQ8UR,blanc 🌗,259,54956,20117,PIPER,30
#Q8RPQ9PCY,Bjorn_,218,54854,15603,PIPER,24
#8L9LG9GR,ShinyBoii👨🏿,268,54608,22165,PIPER,30
#U0J98UR,¿police?,223,54584,12323,PIPER,25
#RV0VCCC,flii,263,53377,13734,PIPER,27
#2CCP2CVLP,⭐️🩸,293,52564,21910,PIPER,26
#92CRCURUR,zerobold,302,52459,21196,PIPER,23
#28R08CUJ0,Themzi,345,51761,27739,PIPER,25
#88Q9CVGGC,Pyromancer,223,50726,14478,PIPER,28
#QVCR8URC,Astrid ヤギ,233,50604,13811,PIPER,27
#20CV8CUUQ,aona 🧸,341,49853,31180,PIPER,30
#8QVU8LU90,kappø,208,40807,13333,PIPER,25
