player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PULPYQ9Q9,tu mama,297,68573,23225,PIPER,29
#PGLULUY9J,"BRAWL_""ARTURO""",299,68477,24034,PIPER,28
#R08YCC9,SKshadow,271,67021,14813,PIPER,28
#9U9Y8VUPV,Nova I Kid,315,66435,10621,PIPER,26
#2LRUCVRJ,Josepe,259,60759,21513,PIPER,27
#2YYL289Y8,The Senate,262,60074,15205,PIPER,28
#8G8R29UG,SpicyJellyfish,288,59628,18466,PIPER,25
#9GLYURR0V,<c5>Nick</c>,335,58484,19715,PIPER,25
#8YPVQ9YUU,Master Protato,240,57863,9879,PIPER,29
#8YJQYJVRL,Stunner,200,57741,5010,PIPER,25
#G2CU829J,robotergasu,242,57416,12650,PIPER,26
#888G9VLQ0,ReaperKing._.,243,57493,5326,PIPER,25
#VRC9U22Q,Shelly,239,56966,14622,PIPER,30
#2L8YPR98C,Jéjé51,235,56902,6106,PIPER,25
#8PPURPCUY,QLS|DarkShadow✨,276,56877,19725,PIPER,29
#C0V92RQ,Alimoe,329,56228,27632,PIPER,25
#QRRC9C8,Lil Boat,258,55712,11004,PIPER,28
#Q222GR8,ShowsYouUp,243,55659,14798,PIPER,23
#8ULCGG88J,itzanimals65,273,55673,21076,PIPER,26
#RP0LRUR0,CinnaBønRolls,280,55296,18055,PIPER,28
#8CLQVLCV,⚔️Destructor🗡,248,55336,10101,PIPER,26
#89QL8R9UR,slobro,235,54629,17330,PIPER,24
#29L9YQP00,QuizWhiz77,223,54485,8602,PIPER,28
#LLJUVGJG,Hitman♻️Killer,269,54010,11213,PIPER,25
#Q2UCQ0C0V,Troller,198,53944,9670,PIPER,28
#8VG9U2UYY,i got banned,245,53462,11514,PIPER,25
#PPCGQY0V,Mr.Ants♤,250,52598,10666,PIPER,25
#88GLRQLY,RhinoIsPro,265,52535,18832,PIPER,30
#2CLVJ8RVQ,Aarsh,262,52111,18389,PIPER,27
#98QC2J989,わ|Pulse❤️‍🔥,200,50958,4993,PIPER,25
