player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2RYCPLYPU,OJTA997,304,68824,9270,PIPER,30
#2PYY0CQ9,Use Brain Plz.,413,67973,42594,PIPER,29
#98LLCJ0QY,jaja malo,251,66992,4216,PIPER,30
#2L2GUJLP0,Pikachu >.< =.=,288,66506,20678,PIPER,28
#2YJCYPVPY,DX|Alσηsσ,341,66445,22725,PIPER,29
#80QV2UYQL,Chaapoo💛🐣,314,65635,19269,PIPER,28
#20J8LYGVU,sleeps 🌭,221,65147,6334,PIPER,25
#Y0P2G9VRL,HB|ツBᴀɴᴀɴᴀᵇʳᵒ🍌,275,64806,19069,PIPER,27
#V8CL22RR,Gopnik Stalin,302,63054,20130,PIPER,30
#8C0U0GP9L,愛|𝓑𝓻𝓮𝓪𝓭 🥀,309,63178,17091,PIPER,28
#VUQJ2JQ9,Gerry,336,62801,27123,PIPER,30
#G08PV2Q,→☪Stev_ilocOS愛,330,62921,35947,PIPER,27
#9L0P2JQ8,BrawlerGod24,261,61977,16578,PIPER,30
#PVVPGQ2U,zwolf🐺,270,61346,14346,PIPER,28
#8JL8JGPYV,🕷️ | Noqs,180,60887,9341,PIPER,30
#Q0LRLPLR,Mr. X-Rodz,311,60781,25240,PIPER,26
#9GPQJGY2,Alex Zhu YT,371,60241,36032,PIPER,28
#G29CP9Y9,Trippie,317,60219,24969,PIPER,28
#22G8QY89R,Hoken 👑,222,60162,11039,PIPER,27
#P9Q2P28Q9,BobGameing,277,59500,20545,PIPER,26
#G9G0YCPU,LuigiA25,331,59225,23264,PIPER,27
#8JVL0LG8G,Bames,301,58600,12473,PIPER,28
#L8JVR0RV2,El Pringo,257,58275,16380,PIPER,27
#80QL8J89Q,LAG,327,58719,15637,PIPER,26
#2UYLYCU89,jeancarlos,323,58257,26945,PIPER,29
#2JGPPJYYV,Pablo :v,312,57076,11373,PIPER,25
#8RQ8CCVR9,Static_GelPens,265,56670,16838,PIPER,25
#GCG88L82,Its_n1k0 |,290,56498,17079,PIPER,30
#22CGJCRG,Derpy,219,50430,12761,PIPER,28
#9VUYYY0C,$p1¢y,300,50380,22574,PIPER,23
