player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8G8PPLRJ,BigChub,349,68220,29690,PIPER,28
#2YVR0VLV,Ꮤa͞͞r͞͞i͞͞s͞͞⏎☘,379,67867,41979,PIPER,28
#2LC020U2,dorian,290,63684,16943,PIPER,26
#QG2VLYUC,SWURVྂ ♐︎,365,63441,36806,PIPER,30
#2LUU28QUY,ALEX,292,62620,16668,PIPER,26
#22GVUP80L,edgar,263,62429,5579,PIPER,26
#2QGLJQ82R,Ali,370,61501,19487,PIPER,27
#PQRVJRR9,Ryco,200,60105,3284,PIPER,24
#2L299UG9V,✧𝓢𝓶𝓸𝓰🔮✧,316,60106,23460,PIPER,27
#8R28YYL,ツ︎вeαѕт❣️,303,60112,23025,PIPER,26
#URQULQ9C,lokochicken,273,59933,23711,PIPER,27
#PGG2ULJQC,😈 Y.B.S 👹,246,59839,16559,PIPER,27
#VVQGG2L,SparkyOV,297,59166,17566,PIPER,27
#2VP800CL,Andyy,233,58476,14185,PIPER,25
#90YCYGVR,maXXXed account,206,58131,14065,PIPER,26
#RC2CGPQ0,Coweatᵧₒᵤツ🐄,279,57785,15436,PIPER,31
#PJ8UC9CVQ,SavageKiller19,251,57720,3455,PIPER,25
#QP00QQ8,GOD-OF-WAR,278,57207,25128,PIPER,26
#9YP9UY8Y,ELITE|ThugLifeヅ,346,56304,30526,PIPER,26
#2PJ228G0P,razvan,252,55965,12143,PIPER,23
#VGPJLYPR,DiNofrio,254,55913,14975,PIPER,25
#99RRGGR,BluE,254,55913,15867,PIPER,28
#UUQLPV0,◦•●◉✿ ɪィϩ㉿ ✿◉●•,230,56117,16345,PIPER,30
#29Q8JLV8,⏻ Reset ⏻,306,54980,25801,PIPER,30
#2CP2GGL8,Echø,272,54271,15894,PIPER,25
#GQU0LVGV,craz,227,53646,12675,PIPER,29
#U0Y9VC0,⛩|Flash23🎋,279,53684,24150,PIPER,26
#LVGVRPGP,BASTOUN,236,53358,10093,PIPER,25
#9CLQ8GY98,Aaron,264,53199,15360,PIPER,29
#9V9YCGYP,ROFLSTOMPSAURUS,262,42749,16263,PIPER,26
