player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9UCQYUU22,SGA Joseph,306,71999,19725,PIPER,30
#YUQCY0U9C,SGA lil gamer,228,63828,11696,PIPER,30
#2GQ9JRULP,Batman20,305,63186,19912,PIPER,27
#9Y908229Y,✨GODaksh✨,277,62980,11108,PIPER,30
#R0LLRRC8,SGA Drako🥷,242,62216,14255,PIPER,30
#9RL88U9PR,Jacob,287,61825,9595,PIPER,26
#V88RUJQQ,👾👾ÇAŠPŶ👾👾,276,61021,21783,PIPER,28
#P9V902Y82,Bullseye,241,59499,14675,PIPER,31
#2C9V02JJ,H⚔️|J o s m _ 8,298,59349,23280,PIPER,29
#9VGL9V8PV,SGA Ava💘,216,59304,11211,PIPER,29
#9GPG89GUY,SGA SammyJammy,269,58630,16162,PIPER,29
#PVPLJR09P,mortisop,279,58573,15600,PIPER,29
#P9UR8UQRC,SGA PARANORMAN,266,58692,5055,PIPER,30
#9Y0Q2CUP9,Kͥakͣaͫshi⚔️,227,57779,11089,PIPER,28
#8GQVYQ8Y,SGA ASHYツʕ⁎̯͡⁎ʔ,273,57617,12983,PIPER,25
#8JY0C8V2,☆LUNIXIN☆,353,56785,32346,PIPER,24
#2YQV9Y9L2,Yujin 🐶💛,262,56731,17403,PIPER,29
#8LRPVCCQ,✨MICAH✨,257,55864,14389,PIPER,26
#9VVQL8PPU,✯StarAssassin✯,324,54960,20613,PIPER,24
#9L22YYCU,Dutytab-nya,302,54499,18713,PIPER,26
#L80VURVR9,シ|rage🥀,258,54298,16824,PIPER,26
#VGVUPPG0,SGA BADBOY,302,54246,23294,PIPER,28
#VJQL0GQY,SGA Mikey,287,54034,17241,PIPER,27
#8GVPCRC0,paul,253,53491,7239,PIPER,25
#92LY88LGV,Buzzap蜜蜂,276,53334,22930,PIPER,30
#C8QLC0C2,SGA Josh Z,300,53581,19323,PIPER,30
#90299PJQU,cole 🥭😮‍💨,258,53223,12099,PIPER,30
#8QLU2PRUY,⚾️[OP]§h@wń⚾️,292,50416,19836,PIPER,23
#2J82VGP0C,SGA GOD:/,230,49863,9781,PIPER,26
