player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2Y2CLQRLQ,Gageツ,338,63115,14541,PIPER,29
#8V8C9C90R,Tuneあ,278,62998,12922,PIPER,28
#P8GGUJR99,LoganNoCappin,234,62206,10964,PIPER,29
#YRCRVGC0,colin,243,61712,8687,PIPER,25
#8PJP0Q002,ʜʏᴇɴɞ,314,61646,24734,PIPER,26
#8GQURUGG,beastinator,352,61525,44698,PIPER,31
#8CRJUYCVQ,The Ø↯,282,61195,16333,PIPER,30
#8YVLQ9RJY,🌵Dylan🌵,289,60376,8611,PIPER,26
#PQG88G8,The Best Bob,247,59275,15028,PIPER,29
#9Q8G8029,Dre!,309,58770,25173,PIPER,25
#YL2RQ9PQ,Aura,278,58007,22482,PIPER,29
#2YV0JLRQJ,DarkLuis675,253,57835,15330,PIPER,30
#VGUQGLYY,Godzilla,260,57426,13755,PIPER,22
#8V8RVCUC,artrosis,397,57109,31950,PIPER,28
#9UJJRVV9,Ҝ𝓲ꪶꪮʟᴏᴠᴇ𝑌𝑜𝑢,291,56635,22323,PIPER,29
#8VUP28Q8J,zeca maneca,245,55864,13416,PIPER,27
#9JVY282J,FLASH304,225,55655,8517,PIPER,28
#2VYJ0YLYC,Spicy Ramen,258,55544,9680,PIPER,23
#VPV9JCG,LAu,249,55385,12515,PIPER,26
#8GU2J8P08,🐯🐯🐯,230,55375,15682,PIPER,25
#229PLUYQC,JST | ☆emo_bug☆,333,55279,21103,PIPER,24
#22JUJL02,🍪Cookiez🧸,300,55261,17756,PIPER,25
#P90LVVLJ9,UZB|007,287,55055,16898,PIPER,25
#2VLY0P9GY,Quetzalcoatl,293,54565,16757,PIPER,23
#90JUV89GY,CR|FireDemon,233,54317,3846,PIPER,25
#VGV889L2,Esidisi,238,54124,8988,PIPER,22
#Y9RQR0C8C,QLS|LEGENDA,288,54191,14382,PIPER,28
#CY9UPJQG,도망쳐,239,52337,7641,PIPER,25
#JRPLCR2Q,MakeMyDaY-,330,51423,31736,PIPER,23
#9Q0J9YV89,⚔E̷šråᵐ 𝒈𝒐𝒅⚔,185,45345,8471,PIPER,28
