player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#VR9QGUYP,Sandy,313,68857,21619,PIPER,30
#9Y9VQ0CJP,levetro,289,65639,13560,PIPER,30
#GVRYCCPP,George.,434,65332,56884,PIPER,30
#P2QRLL09R,Blizzard🐣💛,335,64857,19939,PIPER,28
#P20UYYCV,LIMON4IK,251,63900,8077,PIPER,28
#2LUQUPQ2,Decsours,347,64107,27784,PIPER,30
#VC00Q89U,DarkestCrow,321,63723,26547,PIPER,30
#R09RG0CU,⚡ğámęř přø⚡,246,63123,11908,PIPER,31
#2PLJLLV8,ZD3,308,63239,31187,PIPER,28
#9VGV09V0V,ЦСКА 17,300,62573,17131,PIPER,27
#PVVL92YYV,旅様拉致はたらたひま🤡,227,62394,6945,PIPER,30
#8QQLG9J9Q,SparK,257,62308,9182,PIPER,28
#89V9UQ8LY,Макс energy,254,62200,13561,PIPER,29
#2PYJCPJG,WiLozZi,285,61241,15956,PIPER,25
#82YUU8ULU,スターw1zard❤️‍🔥,321,62900,17387,PIPER,30
#98PPJ2VY2,🍥Itachi🥇|⛩,245,60454,11910,PIPER,27
#8P9J8CRCJ,нуб,266,60059,7776,PIPER,27
#8U22GR8QL,Боец,294,59923,10725,PIPER,26
#C09QR009,YABLOCHKO🍏,281,59707,14198,PIPER,28
#Y2UY9YRRG,🥵🩸♡♡KlLLER🥵,219,59779,4995,PIPER,31
#2RGL208UQ,harhcapoori,268,59661,10022,PIPER,30
#2U8GP29PQ,Noxllee❦,318,59433,22761,PIPER,30
#Y2GPYYQVQ,ZT|SpIdeR 🥵 😈,231,59154,8188,PIPER,27
#2CCUJJJR,埃博爾| 𝔽loℵ︎e🎴,248,59115,14064,PIPER,28
#8CU8GYJ0C,_☆ĐƏMØŇ|™,255,58946,10927,PIPER,29
#9VQVJYLU0,nereZKo💞52,202,57775,12631,PIPER,28
#P0R2UYPGJ,АидVyacheslavOO,249,57286,9344,PIPER,28
#V2R8RGU0,Jason Voorhees,382,54195,38843,PIPER,30
#Y0UGLCPU2,абэмка)),252,51083,12796,PIPER,30
#90GYYCGL8,Respect,241,50348,10681,PIPER,25
