player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PPLY8L0V2,SGA Beast,341,89446,33982,PIPER,35
#2UVRQQPLP,SGA Jumpy,323,83335,27271,PIPER,35
#9G8GGVJ2,SGA Godz,352,81566,43420,PIPER,35
#P9J8VUQGY,SGA Wolf,339,74535,19134,PIPER,35
#C9QQGYCG,ˢᵃᵒ么ᴋɪʀɪᴛᴏ メ,305,73210,27754,PIPER,30
#2YCRJQJJU,Goomy❤️IcyMyIce,286,72007,8991,PIPER,33
#JCLJJU9,SGA DREADY YT,395,72001,17573,PIPER,30
#VLP9QPPR,Johnny♥️NayNay,355,71384,32463,PIPER,30
#PJVPVYCG2,Liam BS | YT,296,71327,15585,PIPER,29
#PYGV2U22,grifjin-_-,295,70068,24520,PIPER,29
#YPPGUQVLP,😎😍lilmikey😎,282,69452,13635,PIPER,29
#CGL28CQ,ḙℓ_℘✺❡✺,300,69565,17143,PIPER,28
#29YJLVR8,❤️Ostarch❤️Lucy,270,68840,14216,PIPER,30
#9QULPRGQR,SGA Replay,249,68743,11851,PIPER,30
#2L8V9VQG,gamergabesong,269,68653,12557,PIPER,31
#GGR980R9,Monukl,364,68309,39311,PIPER,35
#2QJ9GYVQL,SGA Womp Womp,198,68279,11035,PIPER,35
#QLPRRVG2C,℟𝖔ß🥀🧸,237,68416,14566,PIPER,30
#2YUVQY8JJ,Wizardᶫᵒᵛᵉᵧₒᵤツ,358,67291,36399,PIPER,32
#98QJ088JQ,🀄️Martin🔝,292,66361,17023,PIPER,30
#2GC0C222G,mq|𝖒𝖆𝖒𝖔𝖓𝖙,286,65796,10531,PIPER,30
#8Q2RGCQUJ,🥀|sergio ⛩️,281,65569,17650,PIPER,29
#98UQLCGR9,🤫🧏‍♂️,314,65304,23669,PIPER,30
#2JQ88G9U,ChumZ愛神,245,65236,15230,PIPER,29
#Q8202089Y,RT|Alderheart,243,64977,16783,PIPER,28
#9CYU2QUGC,Kirby Dach,261,64647,13526,PIPER,27
#28892V2V9,LY | Jake ☃️,261,64309,24956,PIPER,30
#9QGV0009R,🦆ur on quaak🦆,295,63277,13762,PIPER,29
#CULLCQCG,AngMexi🗽,307,62800,26911,PIPER,27
#9CYC20828,SGA Brawler02,280,62423,13068,PIPER,30
