player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PLV808R8,kingdp,280,62420,22599,PIPER,27
#CVQJ0PV,Eezee,340,58877,26504,PIPER,26
#PV0UL0PJU,zaa,378,58590,51303,PIPER,27
#2R92Y0YVL,Douglas,258,57871,11106,PIPER,25
#VVG0UGRQ,𝚆𝙼𝚒𝚌𝚑,258,57730,9888,PIPER,25
#9G8YGV2RL,bear,233,56164,8219,PIPER,24
#VLPPRGU,TrollGod,288,55754,24954,PIPER,24
#PVJRY22R,🔥GabilanMX🔥,259,55995,7781,PIPER,26
#YJR2Q8JJ,Tribe|Jonny,288,55202,8194,PIPER,26
#2JP2LG0,TTV GETGOOD69,286,55230,25225,PIPER,29
#P9YLJ2C,Bossitron,244,54905,18775,PIPER,24
#899RLV8UJ,blazeami,243,52461,9538,PIPER,25
#Y9LQYCGCP,Sempai|VVS,211,52243,5243,PIPER,28
#LPPGR9,CSwagger69,212,52210,11427,PIPER,24
#99GRU82UR,j38,318,51921,21639,PIPER,25
#20CJQ0029,Мартин,291,51715,7841,PIPER,25
#88UPPUPJY,XD_Comikazie,222,52083,1878,PIPER,25
#UVCPQ22L,Dan9955,210,51657,4799,PIPER,25
#Y0QPLGVUU,sirius,263,50945,10077,PIPER,29
#R2VVQJQR,Леон,249,50926,7317,PIPER,25
#PPC2P2JVJ,cormackarl,261,50249,16724,PIPER,26
#20PLPPQY0,TiGiBi,271,50112,19960,PIPER,24
#J8CRGGG0,Yeti,293,49945,25763,PIPER,27
#2G0RP0CR2,Леон,288,52898,11270,PIPER,30
#2R2UUJJ9Y,kevin the asian,281,48909,14321,PIPER,22
#22C0GCRGG,😎LEO😎,227,47125,7969,PIPER,24
#98JYUVLG0,ThrobRod,243,45775,13482,PIPER,21
#98G9L9GVQ,Jimbo McNugget,186,45519,5039,PIPER,24
#20GVQPYR0,rgb,221,44844,11760,PIPER,22
#PCQRU2YJC,にゃにゃにゃ,239,43979,11834,PIPER,27
