player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#L8QP0G2,King Joshua,390,78535,48073,PIPER,35
#8R0UPPCR8,ス Slash,297,75448,24863,PIPER,30
#8GYVU8U0,smuc|jonny,364,73249,41436,PIPER,30
#89RLY09Q9,Negativities,290,72175,26520,PIPER,30
#2V2U0R8VJ,BCS|Austin,311,71824,20790,PIPER,30
#2URQPY9RP,BCS|Dylan,304,71794,20076,PIPER,30
#890L90LR9,Lunger⏳,298,70784,31420,PIPER,30
#Y0LPQ8G02,Beansヤギ,298,69627,23346,PIPER,31
#P8L9GCL,TeeJaMr,327,69252,30261,PIPER,28
#PUGRCG0V2,🦇🃏,347,68930,35235,PIPER,35
#20Y8CVLQ8,wafrost,347,68154,39459,PIPER,31
#8R2R8JP0,ihavebimmer,383,65125,48130,PIPER,30
#99RY0RUY,Bluemoon,322,65055,23625,PIPER,30
#UQVQ020,Shreyas,400,64590,43244,PIPER,31
#GYPLLR9,ASTR☻︎NAUT,307,63718,29143,PIPER,27
#89CJLLVQ9,Big K,271,63536,14323,PIPER,27
#PR2LULYG,Juma,274,63164,21810,PIPER,27
#PR9R02P8Y,sLicK🪐,316,61860,29944,PIPER,28
#2YPJQGVC8,Bot 2,289,60607,25360,PIPER,28
#2U2QP0VQJ,TheFinalOne256,293,59857,13667,PIPER,25
#PQVPPCVCJ,SMUC|LilHog,258,59104,11182,PIPER,26
#2JRYC9C9,cheerios🥷🏻,320,57897,27289,PIPER,29
#VJ9L0V0U,Journey🧸,243,56717,15521,PIPER,30
#YQLJ99QU,dn7evan2,282,55590,23360,PIPER,28
#PVJ8C9UL,Pablo,329,55551,34403,PIPER,27
#GPPLCYQQ,Ivxn,302,52796,25190,PIPER,25
#J888PPVL,Gear 5 Riptide,273,50040,18119,PIPER,32
#29RVP0CPQ,xMoriarty•,232,46898,10982,PIPER,30
#R299098J,ℒ𝒶𝓅𝓁𝒶𝒸ℯ,243,45563,19624,PIPER,25
#PG98LJY89,SMUC|Bestplayer,118,28670,5027,PIPER,30
