player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2Y29PG9R,ᴅɪɴᴏ,433,74581,59308,PIPER,30
#8Q9QGYC8,SRG|Tripwire🥀,314,74336,31435,PIPER,30
#9RR22YQQJ,Mr.Kitty,339,73017,35262,PIPER,30
#QLQYLLU,Best🪐,312,72428,28455,PIPER,31
#2GLYLVC0Y,Vőyyaあ,380,70166,34888,PIPER,30
#PJPRV8CG,SRG|Bigmac🍔,305,70125,31053,PIPER,30
#92U2VPYJ,𝒽𝒶𝓈𝒽𝓎🂱,311,70339,22789,PIPER,28
#RU2GGGY2,Tatertot,340,68806,23443,PIPER,31
#PPPV0G8LG,Waveᴺ🕋,299,68887,27619,PIPER,27
#8QCVPQJJ,Beezily,331,68500,29089,PIPER,30
#UCQP2L2,Brad 2,300,68175,15418,PIPER,28
#92L9Y22CQ,MR|ConqueR🩶,320,67278,19487,PIPER,27
#LPY8U2R,collinBS,333,66385,35014,PIPER,35
#802CLRU8C,[BAN]iliya,261,66097,19868,PIPER,31
#8Y0PPG00G,MT,266,66004,14224,PIPER,28
#80L80L0G,brad🍀,287,65669,25126,PIPER,30
#8VLYJP2LC,CasonTheGOAT,268,65342,12702,PIPER,30
#8PJJCQV8Y,Sam 🗿🐔🦧,295,64935,32115,PIPER,30
#8UGCY9Y90,EW|落ち葉TyTy🍂,268,64195,12429,PIPER,29
#9RLLG8J9Q,NA|Dream,286,63966,13992,PIPER,29
#Y0C9QUGV,Golden D🍌,357,63862,40507,PIPER,27
#9R2LY9G,Unregistered,328,63854,22780,PIPER,30
#8CP98RVLL,SOL|CharDaClown,335,63553,24022,PIPER,30
#8LUVVGVL,Peak ✯︎,314,62952,26785,PIPER,30
#8Q0LCQ80R,gtraznracer,368,61679,41453,PIPER,26
#98V0UGRGG,Ic3 & Faceless,240,60853,6630,PIPER,30
#98J82GY8,SRG|zach🦧,381,55986,37872,PIPER,35
