player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#99QGCCYLY,It’s Danya?🪬🍀,307,67089,19925,PIPER,28
#2L0P8U20Y,Star✨,325,64365,24453,PIPER,28
#CRCGPU29,Draf Grakula,264,63314,9671,PIPER,26
#8YCQVGQVP,Miyata♜,334,62749,18775,PIPER,31
#20G2JGJ2J,Илья,258,61187,17897,PIPER,27
#289LY8U2Y,nickovich♪,323,60790,29127,PIPER,29
#9C0C2CQCY,🍀везунчик🍀,262,60163,14906,PIPER,29
#8R9VLC089,系𝖘𝖓𝖊𝖝𝖎𝖊🦋,248,57799,11683,PIPER,30
#YCQQV9L29,(Roma)☠,202,57724,3278,PIPER,25
#289YRVYPG,[ RTX ],298,57000,19368,PIPER,26
#PC0JGV8GL,愛しているbrk❤️Диму,257,57218,15094,PIPER,29
#2YGGRURGP,🐉Ryuu 🐉,296,56310,14720,PIPER,30
#9029PG09V,Andromeda|YT,301,56264,11476,PIPER,26
#92PPYPUCC,☔MasTerXkayZz🎋,263,56193,13415,PIPER,25
#2G92LQ99,Dab Lord,292,56140,21071,PIPER,24
#90U90J9R,DUSTY[YT],324,55825,14051,PIPER,26
#2QCC9PV8P,knight⚔️of life,286,54511,13500,PIPER,28
#Y0CLUQ0P2,dq`|Hōgueko🌿,251,54516,17494,PIPER,26
#890QV2,dq`|Likhala🐉,331,53067,21414,PIPER,29
#8LQYY28L2,Notoriousone,273,52027,13137,PIPER,24
#P02QCRGLL,CAXAROK🍬,298,51672,13208,PIPER,27
#LQ0VY289,Thorfinn🌖,209,51327,4639,PIPER,28
#2VRU0PQRQ,🥀mostekk,326,50790,25190,PIPER,30
#2YJUYUPJ2,©® snikers ©®,242,50394,11248,PIPER,27
#9JJ92UU0Q,BRAIN,204,42293,6178,PIPER,27
