player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2LRUY8C82,疲 | Alpha 🥀,285,70072,4818,PIPER,35
#9JUVC20P0,Herrmannator,403,68619,14610,PIPER,26
#8LJLV2PU,Graphical 🏹,248,62470,16811,PIPER,28
#8LYY9VJY8,ill Kace💸,291,62427,29339,PIPER,27
#GQVC2C0U,brandon,373,61649,25668,PIPER,30
#8VRLVV22U,ʚ♡ɞ | Bowfire,300,60434,10865,PIPER,30
#20VP00YQC,₱Ʉ₥₱₭ł₦Ʉ₮ ⌐╦╦═─,290,60097,18667,PIPER,27
#PVPY0QJRL,Tea,269,58651,22523,PIPER,26
#29PJL98UG,dyl_1,436,57271,54985,PIPER,28
#9JJ89JL8,anas:^,339,56386,25764,PIPER,30
#80VJ82G0R,edwin,325,55985,17460,PIPER,28
#202QG8899,STMN | Bighead,319,55658,24808,PIPER,30
#2VPV8UPLQ,RL | Hunter,266,54889,10191,PIPER,26
#CYJL8QC,Rodington,323,54323,26588,PIPER,25
#9PC8G80C8,ʚ♡ɞ | Tella,365,54138,19073,PIPER,30
#88VYP9Y8C,bear,348,53118,25635,PIPER,26
#8R0U9QGV,callkid,254,52987,16872,PIPER,25
#228098GPV,Patbod12,340,50948,26700,PIPER,29
#820UC2UQR,Brawlson,255,49167,10607,PIPER,30
#22Q0QV8G,h. 🤘🏻,324,48465,34219,PIPER,29
#2CLCQGP8Q,TRB | Dyna🧨,220,47524,9372,PIPER,26
#28YRRL0R,Pikachu,369,47252,30931,PIPER,25
#GVPJVPYJ,☘️SGG🎀,209,47252,12121,PIPER,26
#RCL0PUR,TaKeNoTeZ,335,46980,30640,PIPER,28
#2PPCJ2P0J,CC,196,45904,8417,PIPER,22
#99VUVYGP,2018,256,44052,22398,PIPER,30
#29LVGJY8Q,Joshua,229,41164,9533,PIPER,28
#LY20028,LYNKS,217,41675,11501,PIPER,26
#GRQG22CJ,Marz,364,39743,23714,PIPER,28
#QCQCUR9V8,SOLO,111,20010,3489,PIPER,10
