player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#URCY2YY0,eugene cangrejo,310,61858,22024,PIPER,25
#VRG0QVY9,シ꧁Cruise꧂✞,295,61219,8456,PIPER,27
#22QYU09U,Acid916,254,59734,9290,PIPER,26
#PPVYUC0V9,calo,277,59111,9785,PIPER,25
#8VU0P98Y,WOS|franky,279,57651,19307,PIPER,25
#29LP02GU,MKY | Peter,229,56790,9396,PIPER,26
#2JVC8C2L9,Jürgen,416,57021,54922,PIPER,25
#2RPQCJVC,Nicksauceeeee,196,56402,9785,PIPER,26
#PPP8YUYRL,SomHardy,255,56184,19547,PIPER,27
#2L9GU2J8R,[KS],270,56111,16301,PIPER,25
#80GLL82,Aakash,286,55929,17198,PIPER,25
#QYY89C9J,MKY | Danny,216,55944,11818,PIPER,27
#88VQ29VRP,💫Chianni🍍,249,55963,16576,PIPER,25
#PRRRJ8CL,Samuel,221,55003,5099,PIPER,30
#Q02LGGQL,MKY | Ivamarx,273,54808,9316,PIPER,25
#9L08YCY9J,MKY | Jack,289,53476,21938,PIPER,26
#8Y2P2UR9J,MKY |Liegamer56,252,53318,5122,PIPER,22
#PPRVC0QG,Its your fault,271,53214,19404,PIPER,30
#PR028G9GG,Bubba Koo,271,52922,19211,PIPER,23
#88GUGJY08,503|Real,261,52951,18229,PIPER,27
#8YG0JCY98,cajabuja!,303,52513,17828,PIPER,26
#2RLPRYGU,kixie,240,52283,14026,PIPER,22
#9UC80L9Q,ride my hog,253,51645,12727,PIPER,23
#2GC209VLR,Nancy Pelosi,196,51352,11021,PIPER,25
#PUPQ28PYU,Ro𝓷aͥℓdͣoͫ⇜,261,51076,17385,PIPER,25
#Y009L8GJ,bobo🐐,226,50314,10431,PIPER,29
#2QVQGQ0CQ,ant123m123,244,49762,8969,PIPER,28
#RQ0PCL8,Hunter,192,49670,7693,PIPER,25
#8JRV0J8VR,JoaquinLorie,212,48586,8038,PIPER,22
#GG8JLVQ9,Creeper,216,47934,12716,PIPER,26
