player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#JJCL8PP,ZT propus on yt,228,71246,8109,PIPER,31
#9UYUPJQGV,♛KING NUTS♛,292,70416,19764,PIPER,30
#88VQ8VYC,⁵⁰⁴┆𝓣𝓸𝓷𝔂ᴴᴺ⸙,297,70076,24308,PIPER,30
#JGU8GCP2,Askalagas,310,68321,24694,PIPER,30
#99YJCGVJ,Flare,279,68060,18383,PIPER,30
#98Y9V9G0J,VICTORM507,423,67971,18101,PIPER,30
#UUR8VGJP,🖤OopsJay🤍,454,67840,46049,PIPER,30
#88JCGYPVY,Benimaru,296,66635,25814,PIPER,28
#8QRL9CQU,Bonsai,280,65446,20129,PIPER,30
#902V0J9P,Enderrr,300,65231,28059,PIPER,30
#99VU082JY,Kryze,279,64937,24326,PIPER,29
#2UGPJ0QCL,Paradox̸™,252,64876,16002,PIPER,26
#QVCJJ220,Shade Titan,286,64245,22969,PIPER,27
#P0YVR2C2,didi,287,63776,10022,PIPER,29
#822U92JPL,Justin,316,63599,20714,PIPER,30
#8VU2292U8,SpookyBonez,225,63010,8723,PIPER,29
#GRQ0RG0V,Zacy0,274,61384,16907,PIPER,27
#PJLQ2RYY,Huntthebomb28,200,61323,11140,PIPER,30
#8VQ8YCRL,Yack,244,61210,16161,PIPER,25
#ULR2UYR,fraz ⏾,346,61140,22461,PIPER,35
#8CVLJGUR9,sprout :(,270,60851,14345,PIPER,31
#2G090GCY8,•Lisha•,291,59611,25281,PIPER,30
#Y0PLR2PGY,要ℝ𝕦𝕥𝕣𝕒♛,238,59611,10203,PIPER,28
#2GQUQJLC2,Lawlibeatu,229,59317,15373,PIPER,29
#882U9Q8RQ,AWESOME!!!,267,58395,15801,PIPER,25
#GVL2C80,TiPe Shotzz,211,57906,6360,PIPER,22
#8PUY98JQ,TheLegend,199,57565,5502,PIPER,26
#2VLCYPP92,Double Kill YT,276,55514,17736,PIPER,24
#G9Y2P89Q8,❦𝐅𝐮𝐬𝐢𝐨𝐧✞,213,50538,10779,PIPER,27
