player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9R2PJL8YG,IX|Louckie,340,71343,14917,PIPER,30
#2LCRVPURY,Æ | ROB 🔥,332,66420,34298,PIPER,27
#9U8RG2C22,⛩✨Albert07🇷🇴⛩,233,64405,10074,PIPER,27
#LCQUUJ88,D2rkL1fe,274,64310,11387,PIPER,28
#8P8JL9U2L,IP | 𝚑𝚊𝚔𝚌🖤,245,63785,7219,PIPER,27
#8UCY8RYGC,recode,236,63750,13918,PIPER,26
#2YR0G28J2,KOLIBRO,320,63834,24332,PIPER,30
#2C8Y2Q80V,ttleoi,301,62784,22024,PIPER,26
#2LGRR00JG,Miͥτaͣkͫa🕊️,299,62797,14869,PIPER,28
#882QVCR0Y,Motormaster,250,62778,12966,PIPER,28
#9RR29PU8Q,sami_PRO,247,62884,11770,PIPER,30
#YC29Y0JVV,Romantic YOLO,309,62346,3784,PIPER,26
#89R909GLY,Traqn Zvqra,238,62178,4066,PIPER,29
#8G9GU8CUR,OP|ResPeCT.?,369,62281,28677,PIPER,26
#2U8LG8U8C,Sasho,277,61937,6733,PIPER,27
#2G2QUG8C2,노태욱,302,61898,17538,PIPER,29
#8Q2U2YQVL,На дядо внука,281,61707,12815,PIPER,27
#8YL88RGRC,Drakata 123,291,61585,17699,PIPER,29
#8PUJJG29V,あああ,275,61306,11527,PIPER,30
#2G8RJ2U88,༄ᶦᶰᵈ᭄＾＾キルア,339,61181,9343,PIPER,28
#90LLCGLPU,najiib5,273,60741,16753,PIPER,28
#2UG29G8UG,☂️Hristo☂️,337,60720,20620,PIPER,29
#822QJP82V,dieimkiller,239,60479,3014,PIPER,25
#9JVL28QU9,Marto💀,330,60000,17038,PIPER,26
#PR8Q2P0,MrTiger,262,59801,19307,PIPER,26
#LPVVJRVLL,Dog4 🐶,217,58972,9030,PIPER,25
#PQL8YVUR2,DjAn,268,58496,9470,PIPER,25
#YPJR9QPQ0,6S6 | sastrad,331,58547,22169,PIPER,28
#QCGGUGRV,Ogi bg,286,55823,10554,PIPER,22
