player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#PJCYR2U,Flameᶫᵒᵛᵉᵧₒᵤ,332,73578,17863,PIPER,30
#28VQ8J8P,MegaLowManiaNm.,354,70741,24098,PIPER,28
#YJQ02VCGY,Freddy,296,62541,26293,PIPER,26
#22CCPLGC,Jack,262,61208,18157,PIPER,27
#JQGL80J,Chicken,350,60850,32904,PIPER,26
#2VR0QGPG,Mr. Krakowski,326,58584,31937,PIPER,25
#PCJC9GPLU,ZZapper,254,58117,16770,PIPER,30
#228PQ0PQ,Spectral Thief,311,57995,25682,PIPER,25
#JVGUJUCJ,Lugia7,289,56832,17874,PIPER,26
#Y99GG2R,⭐STARSTRUCK⭐,270,55606,15765,PIPER,25
#9VCJRRJYC,FᴀɴɢZxᴀʀ,305,53895,20984,PIPER,26
#8LRGVLQYY,⚔️Tim⚔️,266,53620,19043,PIPER,25
#9UJ08PY2,rezilate☆,282,53530,23837,PIPER,30
#929JPJULV,rainybrain,244,52765,16573,PIPER,26
#22VGJP8Q,Navi ᶫᵒᵛᵉᵧₒᵤ,220,52749,13831,PIPER,30
#LPCYJ29,Joel,305,52322,25057,PIPER,25
#GVUCUR2Y,Fris Łee,213,51633,14239,PIPER,29
#G9P280PV,ʎɔɐɓǝlI🐲,282,51080,21906,PIPER,25
#V0QP2UY,Agent 3,258,50803,19105,PIPER,25
#PL80UQJ8Y,warrior|❤️‍🔥,239,49210,12394,PIPER,26
#YQVQYRGV,UpNZoom,233,48049,15939,PIPER,20
#900UPCGP0,Ovoely,284,47335,17060,PIPER,22
#2RCQUV9PV,❄️frostbite❄️,255,47270,15403,PIPER,25
#URUQ9J00,My skitty ♡,229,46514,6638,PIPER,27
#2RLV2LJCL,Jelly ᶫᵒᵛᵉᵧₒᵤ,193,46216,10040,PIPER,20
#8QVUC888Y,Owen,241,45206,10589,PIPER,23
#LYRG0C0J,Recyclops ♻️🤖,223,45093,9979,PIPER,26
#CJ9PY9Y8,Cookie ᶫᵒᵛᵉᵧₒu,264,45040,13681,PIPER,30
#P2UGPQJ2,Blizzard,284,43388,19265,PIPER,23
#28UJ2LC8,Totella💅,286,43054,14971,PIPER,25
