player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#VRLQLU2G,Turkey boy,284,69322,11635,PIPER,29
#2G08U92CC,Bͥrxͣnͫoツ︎,272,65263,22053,PIPER,27
#28VPG0U2,dUbJune,370,65154,50096,PIPER,30
#C08Y0GL2,Caleb,404,64763,27092,PIPER,27
#CCLQCRY9,𝓐𝔃𝓻𝓪𝓮𝓵,330,62236,23840,PIPER,26
#9VYYC88C,EL SUPREMO,318,61921,23733,PIPER,26
#QVRRVUYP,Forever,315,61390,27623,PIPER,30
#2LLJUYRRQ,Frankenstein,322,60526,21779,PIPER,30
#G2QCL888,Rayztwo,264,58311,16804,PIPER,27
#8Q0Q8GY8,TG | Austin,320,57678,31288,PIPER,25
#YCJU28G,ArmPitHair,346,57017,36038,PIPER,25
#P0YRQ00J,tyler,342,53745,35161,PIPER,28
#VR2QQQJ2,eetanny,211,52087,8627,PIPER,25
#LQUGJULUC,Brawler,183,52003,8383,PIPER,30
#2UVYUU2,の正義Eren Jaegar,311,52553,25251,PIPER,28
#PYPUJYQQC,OMORI,344,51907,18569,PIPER,26
#98QCG0V,Joel,266,51743,14553,PIPER,23
#8V2P9998,SweetIceTee,229,50980,9672,PIPER,24
#2YYCL288,MysticalQuasar,314,50840,26578,PIPER,26
#RLRGL0L9,TG|Fyre,284,48911,23068,PIPER,27
#22G229YJG,Bot 1,269,47874,20910,PIPER,28
#9P8PPRVQ,iSwaggy,255,47154,17532,PIPER,27
#RRPC8CP8,ℂAŠUÂLTŸ𝓚IŁLĘR,283,46221,16184,PIPER,29
#V88RGYP,chrismil24,229,45507,10938,PIPER,21
#8QYYU29J,arxzzkk,299,45544,25973,PIPER,27
#80URQR8UU,eggy,172,42800,6636,PIPER,23
#200Y9P9Y9,ȶʀʊʍքȶɦʊʍք🏴‍☠️,445,41177,62266,PIPER,25
#UJJY8002,zzz,168,37531,5645,PIPER,23
#P2Y9VJUGG,Chungiy,222,40726,13846,PIPER,29
#RYYLYL2V0,Fear🖤,96,32407,2897,PIPER,35
