player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#GV9GRLJJ,Counter 🕷️,372,98682,46406,PIPER,35
#8UGJ82UL2,Alex 🦅,304,96636,40890,PIPER,35
#CJVR0P8,Matt🃏,414,88553,63323,PIPER,35
#JJ09PC0P,HML|vegeta,355,84986,38203,PIPER,35
#8RQ2C02QU,Dubz💖Akeno,301,80703,25732,PIPER,35
#L0P9R8LL,I miss her,330,83368,35045,PIPER,35
#PUGV9VRPY,orngslices 🥷🏿,280,77304,30182,PIPER,35
#C9PU2L9L,재원🩶Minji,364,75475,39263,PIPER,33
#29VCUVPR0,cosmic:(,316,74148,31535,PIPER,35
#2PQRPG0Q9,winter,369,73136,39116,PIPER,35
#Y2VLVGC88,ℕ𝕒𝕪𝕥,209,71971,17521,PIPER,35
#9GY8LLYJ8,strs ♫,244,70407,17136,PIPER,35
#2GCCGQ2Q,HML|Shine,407,69943,58885,PIPER,35
#9JLCLG9GQ,sillysuki🙏,294,68156,29163,PIPER,35
#2JVUVJG8Y,kye,318,67013,28986,PIPER,35
#28QGLV9YQ,IPB Destroyer,319,65279,30539,PIPER,30
#C8UG2PPU,pastryluvtoes,287,61520,27109,PIPER,35
#98J2CYGP,Llamas🦔,319,60023,31988,PIPER,30
#2GVJJ2J,Lukie💜Perry,343,59044,30136,PIPER,28
#9L0U2C9,Lost,329,55948,34242,PIPER,35
#PQJQVUUL9,notying,238,56106,16467,PIPER,30
#2P2GJ8QQ,Katrie,313,49477,32750,PIPER,31
#98VPYCJQP,사랑⋆Caleb🍵,349,49664,41546,PIPER,35
#29VU9GQGL,ScarX,267,45720,20360,PIPER,23
#CC02VLVJ,c2pid,227,43312,10061,PIPER,27
#PGL98YJJJ,Rain 🐊,176,37324,11581,PIPER,35
#88YLVCQRL,kaioken vegeta,179,36955,12620,PIPER,35
#2VVGRJY2,Gamma,217,33934,12514,PIPER,20
#22CGRUJ09,catalyst vegeta,62,7068,1380,PIPER,5
#YUYYLVJ,Perry💜Lukie,440,77602,51020,PIPER,35
