player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#2RJL8PGUV,Corwas件,357,101037,22436,PIPER,35
#8URCLRY8,球隊|RoUND🌠,442,100903,81875,PIPER,35
#UG8U2PVP,Meeeccc🖤,425,96595,48050,PIPER,35
#82GPP9LQ,NLS|Tobi🍉,466,96429,88092,PIPER,35
#92Y8GY9Y,Alex❤️‍🔥,412,90767,55045,PIPER,35
#G8PLQQ,缠ɦǟʊռȶʏ🦎,376,90053,54294,PIPER,35
#8GVG28JCP,Best Dodger,405,89505,52952,PIPER,35
#82Q00UGY,"Zoid""",431,88727,54346,PIPER,35
#2Q9C922GY,wizz🐸,386,89303,38692,PIPER,35
#JL0VYP0C,❄️Alexi☃️,359,88613,43180,PIPER,35
#VC9PYLVR,LeDragon,379,88719,42467,PIPER,32
#V888YPGU,IME|Minepro,364,87150,26913,PIPER,35
#2UVUU28L8,Dede 最高の,322,86918,25414,PIPER,35
#G29Y2YYL,TL|Elioti❦,346,85871,41449,PIPER,35
#P9Q9JUGVU,Theodorius☬,398,84968,35973,PIPER,30
#2L80JP00L,Kira❤️‍🔥,442,84025,74833,PIPER,35
#2VY8LPQL,Raffy™️,433,84208,62226,PIPER,35
#29UUL8RYL,Samy〽️🥷ˡʷᵉᵏ,345,83930,41450,PIPER,30
#2YL8VCRCC,SB|Miso,362,83207,37754,PIPER,32
#92LRC20V9,Say🐬,356,83165,45510,PIPER,35
#UVPV0UY8,Marcєł❤️‍🔥,301,83306,30416,PIPER,35
#82VP9LG8U,RetiredFerum:(,370,82248,28835,PIPER,35
#8UYQRLQQV,Cwów#1,406,81826,52394,PIPER,35
#QVQR98,PGN-_-Xrad,341,81781,38072,PIPER,35
#2GRRC8L9P,Kellow167,366,80579,36228,PIPER,35
#YYRV2V2,Zen Bobi,322,80521,27420,PIPER,31
#PLV89CGP,BC*|Salty,392,79080,54082,PIPER,32
#8VUJQJ08R,BC*|Θmega,358,77438,42121,PIPER,34
#2YYJYPCL,BC*|Tomzy,396,76491,55353,PIPER,35
#8JJQJYYL0,BC*| ♡SΚγLiηe,402,66577,57180,PIPER,30
