player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#8P2L0J92,🐙Nate•履牧🍣,307,71517,27523,PIPER,30
#8RJ98280L,WL❤️Saft,335,64883,19808,PIPER,30
#88PP0L0PU,🍃Minty•綠葉🍤,301,62770,27177,PIPER,30
#JQJGLGC0,Nam,331,62652,18795,PIPER,26
#8QCCL9LG,₴łⱠɆ₦₮ɆĐ₲Ɇ,299,62200,22278,PIPER,30
#VGV2CV9J,Andr! ♡,253,60100,11075,PIPER,26
#2LU9R8YJ,KindaPointless,288,59510,26735,PIPER,28
#PQY0PVJ0R,PenguinSlayer,301,59235,28778,PIPER,26
#822JLL8YR,Fool,285,59068,18108,PIPER,25
#L8YYJQY9,StreamySkate,285,58648,22065,PIPER,26
#GQ982GU,Cooly4477,229,57939,7861,PIPER,28
#9V9P020JY,伟 | Bess 🥀,247,56666,15224,PIPER,28
#LL0VLLQJU,·果粒橙🥝,314,55869,32659,PIPER,28
#QUL822U8,wiscominer,333,54931,18533,PIPER,25
#9GY2CVLPR,jwahman,263,53236,22825,PIPER,26
#8L0Q9CR0,Kai,215,51690,6256,PIPER,24
#2JC2GGG,alexjakerpro,264,51005,18731,PIPER,25
#PPR0P220C,Dark,244,48977,11989,PIPER,26
#20C9RYQL,Chetvoid,227,45423,9445,PIPER,22
#LYVLG8VR,Rev,197,44849,10106,PIPER,30
#J9UQ0GY8,claire,178,43661,10747,PIPER,22
#YC8J0PL2,KAMKEEL,221,43101,14447,PIPER,23
#LYCGYYP2,Tubs,190,42990,10272,PIPER,23
#8RG0LG2C8,Azuly,244,42325,15745,PIPER,22
#GLRVCQJ,Ian,175,42056,4411,PIPER,23
#PUQ9G9UG,BigNick,217,41291,13276,PIPER,21
#98QJQQ9VV,cursed 🐉,242,40780,11605,PIPER,24
#229Y289JR,Nostalgia,245,39193,17240,PIPER,22
#LUGY0890,Isaac,187,37591,8424,PIPER,20
#PGYL8RY2V,Saft❤️WL,146,37318,5274,PIPER,30
