player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9LPY0RRYL,LazyBoy,280,67508,10980,PIPER,27
#88JR9CC9,FST|Liams007,240,65672,8542,PIPER,26
#8C2RQQ8QL,itsrainningtoes,313,61379,18144,PIPER,30
#998288J00,Aʕtrø >⁠.⁠< ♡,204,57535,6677,PIPER,27
#PR0LPVJ2U,𝒀𝒐𝒐𝒏𝒓𝒂,327,57330,35123,PIPER,26
#R9UY8PU,Omar essa,238,56762,5810,PIPER,25
#8G9992YQ,Garry,236,55925,14947,PIPER,27
#PQ28YPRG8,OverloadIsABot,336,55678,31727,PIPER,28
#Y989QUC0,nox,283,55546,16315,PIPER,25
#YPCJGPR,Roeinator,319,53193,14810,PIPER,24
#VJ8VPULU,Torpedo,313,52104,20929,PIPER,23
#PL8P2PVL,Prof.Chimp,228,51790,13921,PIPER,28
#VLGPURPY,Fazz,392,51741,46485,PIPER,25
#PQ8CVQ8Q,snabel,215,51418,7909,PIPER,25
#9U0PR82VG,Zesti Esti,230,51158,14331,PIPER,27
#YJPYYGVCL,kryllic,245,50744,13304,PIPER,27
#2YC0LR290,Tribe | Sketchy,268,50232,12745,PIPER,24
#PLQG0R0P,GX Banana,193,50018,9398,PIPER,30
#9QRYUUPGU,progamer:),218,49532,9096,PIPER,24
#29UPYCQQU,Lars💜Bozo,255,48892,8814,PIPER,29
#88Y20LR2,ZETA | Loki,164,48577,6374,PIPER,28
#8JVQLCU9C,messime,212,48472,9137,PIPER,25
#JQ8LVGUJ,29bluebb,243,48025,13938,PIPER,25
#P2CRLPPP,vaathi,269,48014,11676,PIPER,25
#2GYGR20R8,✨|BO❤️MEN|✨,233,47181,11197,PIPER,25
#UC9Y2PRU,FST |Lucky doge,247,46704,10781,PIPER,24
#8C2R0JJJ0,Stinky,242,45954,12752,PIPER,25
#2U9LLYYPP,Yongzhao,247,45362,17916,PIPER,24
#2LJLLVULL,gardyjoseph,275,45127,11480,PIPER,25
#280CC2CJ,LazyBoyy,165,41751,5131,PIPER,21
