player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#R0YVP99L,𖤍𝒪𝓅𝓇ℯ𝓈𝓈🂱,261,71251,8310,PIPER,28
#YJ8JQRVL,MagmaStrider,352,66144,31949,PIPER,26
#P2LQ2P9CJ,Edwin,291,65939,19168,PIPER,28
#8RUYCQUV,uklygi,300,61667,8486,PIPER,25
#99GCQ020,juicyfingers,272,60619,12034,PIPER,27
#9LP0J0GPG,mw|;},332,58921,31603,PIPER,26
#9LVUUYQC,ND,339,58780,32117,PIPER,25
#UVP8Y8G,Karnage,347,57512,17129,PIPER,25
#8QQ8YV2JJ,Jrrrrrrrrr,239,57498,13356,PIPER,25
#CQRLRCC8,Jöla😈👑,274,57241,9536,PIPER,30
#282YU0C9C,Aranciatta,265,56724,19090,PIPER,25
#QLR0CGU8V,Bobdanut,209,56309,5934,PIPER,26
#PVJJLJQJ,Caki mito,306,55033,14365,PIPER,26
#LPYCP02G,♕ crooi ♕,227,54865,11163,PIPER,29
#89JPJV0RC,Neon,315,54691,29114,PIPER,25
#JUYYPGQ9,r1,376,54612,13293,PIPER,24
#9CJ0GC9Q2,ZeuzZile,224,54190,9824,PIPER,26
#2YVPPU8LC,Jakeel1,234,53398,6184,PIPER,24
#9L0U889U9,CheesyGoodness,197,53103,8801,PIPER,24
#8GGC02C,Seandyd,247,52650,16404,PIPER,25
#2GVRYJGPG,OwO|Ekisde¹²,269,51372,17004,PIPER,25
#9QCJQLVYV,antman,241,51052,10118,PIPER,25
#QV28P92C,Alex5,243,50930,12645,PIPER,23
#8PPCLC8JR,dragonguy,269,51064,10418,PIPER,25
#GQQ8RQ9Q,007Penguin,209,49870,5919,PIPER,25
#80CJYLY22,Mud Baby,311,49192,16077,PIPER,26
#229QQC2RL,BEEZY™️,240,47967,13775,PIPER,22
#L880G9VQ,Obi-Wan Kenobi,255,47254,9677,PIPER,24
#YQYRLJUV2,2feezy,221,47192,10504,PIPER,24
#8Y8U0RLGU,Rey Skywalker,202,32105,7336,PIPER,24
