player_tag,player_name,exp_level,highest_account_trophies,3vs3_victories,brawler_name,brawler_rank
#9LPVCJCQQ,King,315,71681,26364,PIPER,28
#8RVCYG82J,I❤️PeakYou,268,70330,18923,PIPER,30
#8JJ89809C,Pila 💙,292,68466,28043,PIPER,30
#P20RUGRY,Cuy-r,335,67512,26466,PIPER,31
#GPG80JPY,TatorTot,291,66420,22436,PIPER,31
#22VVQLGQ,BeanLuvAsians,325,66357,33693,PIPER,30
#YYJCQJ8Q,Ramen 🍜,294,66287,28071,PIPER,30
#2GQU8GQRQ,I CAME,305,65573,16230,PIPER,28
#9LY0RQU2Y,Q҉W҉E҈R҉T҉Y҉,265,65554,12257,PIPER,30
#299UGPLYU,Tribe | wBob,326,65216,35667,PIPER,30
#29JJCYY8R,miZz,357,64427,35791,PIPER,30
#2Y2YQR000,Paris,319,63953,20859,PIPER,28
#9PCUGPYJQ,Icy❄,285,62538,24576,PIPER,30
#Y2GCJUUG2,Amiweird?,308,60027,26517,PIPER,28
#28R0PVG0C,NinjaBrawlerXD,341,60000,25405,PIPER,30
#GCPYLLJ9,Neivax,265,60141,17909,PIPER,29
#Y88CQJ90P,SamLuvAsians,239,59069,14982,PIPER,30
#VLP2VJG2,KABOOM,277,58649,20060,PIPER,30
#88822LQU,NIAN,261,57891,14851,PIPER,27
#PJ88VYVQQ,Feral,266,57580,21751,PIPER,24
#2YCQYJV99,bloodambusher,266,57436,17974,PIPER,28
#8C9VVRLRP,NotAlan,256,57038,14238,PIPER,30
#V0J9GCQL,UC | skittle🤍,265,57057,18302,PIPER,25
#2PGVLU9L0,L1S|Odin❦,390,56036,18108,PIPER,30
#UUPRL9V,PapaBoomkids,305,54070,11762,PIPER,26
#PLUGQ2VL,WaliEast | ➡️,252,54124,17040,PIPER,30
#PUUGCRPY,Joe The Doe,309,53893,30752,PIPER,26
#PYRCPYGUQ,Steelcrow,206,50388,6481,PIPER,23
